UF,MUNICIPIO,COUNT
SP,São Paulo,4887
SP,Campinas,585
SP,Guarulhos,513
SP,Santo André,339
SP,Ribeirão Preto,330
SP,São Bernardo do Campo,321
SP,São José do Rio Preto,317
SP,Sorocaba,312
SP,Osasco,310
SP,São José dos Campos,297
SP,Jundiaí,234
SP,Franca,225
SP,Bauru,210
SP,Mogi das Cruzes,202
SP,Piracicaba,196
SP,Santos,183
SP,Marília,166
SP,Suzano,166
SP,Barueri,163
SP,Carapicuíba,153
SP,Guarujá,148
SP,Praia Grande,148
SP,Mauá,147
SP,Taubaté,145
SP,Presidente Prudente,137
SP,Hortolândia,136
SP,Americana,134
SP,São Carlos,134
SP,Cotia,133
SP,Itaquaquecetuba,129
SP,Limeira,128
SP,Diadema,128
SP,Araraquara,118
SP,Sumaré,115
SP,Araçatuba,115
SP,São Vicente,113
SP,São Caetano do Sul,111
SP,Taboão da Serra,110
SP,Indaiatuba,106
SP,Barretos,98
SP,Bragança Paulista,96
SP,Rio Claro,96
SP,Embu das Artes,95
SP,Catanduva,92
SP,Atibaia,89
SP,Pindamonhangaba,85
SP,Santa Bárbara d'Oeste,83
SP,Itapetininga,82
SP,Araras,82
SP,Jacareí,82
SP,Moji Mirim,81
SP,Itu,80
SP,Mogi Guaçu,79
SP,Birigui,73
SP,Itapevi,71
SP,Jaú,71
SP,Votuporanga,70
SP,Franco da Rocha,68
SP,Valinhos,68
SP,Itanhaém,64
SP,Matão,64
SP,Botucatu,64
SP,Itapecerica da Serra,64
SP,Francisco Morato,62
SP,Sertãozinho,62
SP,Caraguatatuba,62
SP,Votorantim,61
SP,Assis,61
SP,Guaratinguetá,60
SP,Ourinhos,60
SP,Itapeva,60
SP,Salto,59
SP,Ubatuba,57
SP,Ferraz de Vasconcelos,57
SP,Santana de Parnaíba,56
SP,Poá,55
SP,Fernandópolis,55
SP,Itatiba,54
SP,Avaré,54
SP,Ibiúna,53
SP,Tatuí,51
SP,Paulínia,50
SP,Ribeirão Pires,50
SP,Bebedouro,50
SP,São Sebastião,49
SP,Taquaritinga,49
SP,Olímpia,49
SP,Leme,47
SP,São João da Boa Vista,46
SP,Penápolis,46
SP,Cajamar,46
SP,Tupã,46
SP,Jaboticabal,45
SP,Jales,44
SP,Bertioga,44
SP,Lins,44
SP,Várzea Paulista,43
SP,Mirassol,43
SP,Vinhedo,42
SP,Caieiras,42
SP,Arujá,41
SP,Itapira,41
SP,Jandira,40
SP,Cruzeiro,40
SP,Peruíbe,40
SP,Mongaguá,38
SP,Itupeva,38
SP,Cubatão,36
SP,Campo Limpo Paulista,36
SP,São Roque,35
SP,Pirassununga,35
SP,Andradina,35
SP,Mairiporã,34
SP,Ibitinga,34
SP,Monte Alto,33
SP,Caçapava,33
SP,Lorena,32
SP,Lençóis Paulista,32
SP,Boituva,32
SP,Nova Odessa,32
SP,Mococa,32
SP,Novo Horizonte,32
SP,José Bonifácio,31
SP,Batatais,31
SP,Piedade,31
SP,Cabreúva,30
SP,Santa Fé do Sul,29
SP,Pederneiras,28
SP,São José do Rio Pardo,28
SP,Itararé,28
SP,Cerquilho,28
SP,Itápolis,27
SP,Amparo,27
SP,Santa Cruz do Rio Pardo,27
SP,São Joaquim da Barra,27
SP,Guaíra,27
SP,Porto Ferreira,27
SP,Jaguariúna,26
SP,Garça,26
SP,Vargem Grande do Sul,26
SP,Capâo Bonito,26
SP,Dracena,26
SP,Barra Bonita,26
SP,Vargem Grande Paulista,25
SP,Paraguaçu Paulista,25
SP,Monte Mor,25
SP,Adamantina,25
SP,Porto Feliz,24
SP,Campos do Jordão,24
SP,Araçoiaba da Serra,24
SP,Registro,24
