ano;cod_ibge;municipio;sexo;idade;populacao
2010;3503901;Arujá;Homens;00 a 04;2737
2010;3503901;Arujá;Homens;05 a 09;3063
2010;3503901;Arujá;Homens;10 a 14;3673
2010;3503901;Arujá;Homens;15 a 19;3483
2010;3503901;Arujá;Homens;20 a 24;3356
2010;3503901;Arujá;Homens;25 a 29;3221
2010;3503901;Arujá;Homens;30 a 34;3121
2010;3503901;Arujá;Homens;35 a 39;2720
2010;3503901;Arujá;Homens;40 a 44;2734
2010;3503901;Arujá;Homens;45 a 49;2256
2010;3503901;Arujá;Homens;50 a 54;2055
2010;3503901;Arujá;Homens;55 a 59;1683
2010;3503901;Arujá;Homens;60 a 64;1110
2010;3503901;Arujá;Homens;65 a 69;728
2010;3503901;Arujá;Homens;70 a 74;425
2010;3503901;Arujá;Homens;75 a 79;304
2010;3503901;Arujá;Homens;80 a 84;169
2010;3503901;Arujá;Homens;85 a 89;80
2010;3503901;Arujá;Homens;90 e +;21
2010;3503901;Arujá;Mulheres;00 a 04;2605
2010;3503901;Arujá;Mulheres;05 a 09;3112
2010;3503901;Arujá;Mulheres;10 a 14;3439
2010;3503901;Arujá;Mulheres;15 a 19;3235
2010;3503901;Arujá;Mulheres;20 a 24;3214
2010;3503901;Arujá;Mulheres;25 a 29;3477
2010;3503901;Arujá;Mulheres;30 a 34;3282
2010;3503901;Arujá;Mulheres;35 a 39;3053
2010;3503901;Arujá;Mulheres;40 a 44;2746
2010;3503901;Arujá;Mulheres;45 a 49;2555
2010;3503901;Arujá;Mulheres;50 a 54;2171
2010;3503901;Arujá;Mulheres;55 a 59;1710
2010;3503901;Arujá;Mulheres;60 a 64;1180
2010;3503901;Arujá;Mulheres;65 a 69;747
2010;3503901;Arujá;Mulheres;70 a 74;560
2010;3503901;Arujá;Mulheres;75 a 79;401
2010;3503901;Arujá;Mulheres;80 a 84;277
2010;3503901;Arujá;Mulheres;85 a 89;138
2010;3503901;Arujá;Mulheres;90 e +;64
2010;3505708;Barueri;Homens;00 a 04;9018
2010;3505708;Barueri;Homens;05 a 09;9442
2010;3505708;Barueri;Homens;10 a 14;11247
2010;3505708;Barueri;Homens;15 a 19;10566
2010;3505708;Barueri;Homens;20 a 24;11598
2010;3505708;Barueri;Homens;25 a 29;11599
2010;3505708;Barueri;Homens;30 a 34;10418
2010;3505708;Barueri;Homens;35 a 39;9052
2010;3505708;Barueri;Homens;40 a 44;8542
2010;3505708;Barueri;Homens;45 a 49;7132
2010;3505708;Barueri;Homens;50 a 54;6102
2010;3505708;Barueri;Homens;55 a 59;4601
2010;3505708;Barueri;Homens;60 a 64;3183
2010;3505708;Barueri;Homens;65 a 69;1915
2010;3505708;Barueri;Homens;70 a 74;1201
2010;3505708;Barueri;Homens;75 a 79;679
2010;3505708;Barueri;Homens;80 a 84;444
2010;3505708;Barueri;Homens;85 a 89;204
2010;3505708;Barueri;Homens;90 e +;108
2010;3505708;Barueri;Mulheres;00 a 04;8796
2010;3505708;Barueri;Mulheres;05 a 09;9169
2010;3505708;Barueri;Mulheres;10 a 14;10931
2010;3505708;Barueri;Mulheres;15 a 19;10792
2010;3505708;Barueri;Mulheres;20 a 24;11640
2010;3505708;Barueri;Mulheres;25 a 29;12102
2010;3505708;Barueri;Mulheres;30 a 34;11281
2010;3505708;Barueri;Mulheres;35 a 39;10261
2010;3505708;Barueri;Mulheres;40 a 44;9355
