keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
1;Adamantina;SP;3500105
2;Adolfo;SP;3500204
3;Aguaí;SP;3500303
4;Águas da Prata;SP;3500402
5;Águas de Lindóia;SP;3500501
6;Águas de Santa Bárbara;SP;3500550
7;Águas de São Pedro;SP;3500600
8;Agudos;SP;3500709
9;Alambari;SP;3500758
10;Alfredo Marcondes;SP;3500808
11;Altair;SP;3500907
12;Altinópolis;SP;3501004
13;Alto Alegre;SP;3501103
14;Alumínio;SP;3501152
15;Álvares Florence;SP;3501202
16;Álvares Machado;SP;3501301
17;Álvaro de Carvalho;SP;3501400
18;Alvinlândia;SP;3501509
19;Americana;SP;3501608
20;Américo Brasiliense;SP;3501707
21;Américo de Campos;SP;3501806
22;Amparo;SP;3501905
23;Analândia;SP;3502002
24;Andradina;SP;3502101
25;Angatuba;SP;3502200
26;Anhembi;SP;3502309
27;Anhumas;SP;3502408
28;Aparecida;SP;3502507
29;Aparecida d'Oeste;SP;3502606
30;Apiaí;SP;3502705
31;Araçariguama;SP;3502754
32;Araçatuba;SP;3502804
33;Araçoiaba da Serra;SP;3502903
34;Aramina;SP;3503000
35;Arandu;SP;3503109
36;Arapeí;SP;3503158
37;Araraquara;SP;3503208
38;Araras;SP;3503307
39;Arco-Íris;SP;3503356
40;Arealva;SP;3503406
41;Areias;SP;3503505
42;Areiópolis;SP;3503604
43;Ariranha;SP;3503703
44;Artur Nogueira;SP;3503802
45;Arujá;SP;3503901
46;Aspásia;SP;3503950
47;Assis;SP;3504008
48;Atibaia;SP;3504107
49;Auriflama;SP;3504206
50;Avaí;SP;3504305
51;Avanhandava;SP;3504404
52;Avaré;SP;3504503
53;Bady Bassitt;SP;3504602
54;Balbinos;SP;3504701
55;Bálsamo;SP;3504800
56;Bananal;SP;3504909
57;Barão de Antonina;SP;3505005
58;Barbosa;SP;3505104
59;Bariri;SP;3505203
60;Barra Bonita;SP;3505302
61;Barra do Chapéu;SP;3505351
62;Barra do Turvo;SP;3505401
63;Barretos;SP;3505500
64;Barrinha;SP;3505609
65;Barueri;SP;3505708
66;Bastos;SP;3505807
67;Batatais;SP;3505906
68;Bauru;SP;3506003
69;Bebedouro;SP;3506102
70;Bento de Abreu;SP;3506201
71;Bernardino de Campos;SP;3506300
72;Bertioga;SP;3506359
73;Bilac;SP;3506409
74;Birigui;SP;3506508
75;Biritiba Mirim;SP;3506607
76;Boa Esperança do Sul;SP;3506706
77;Bocaina;SP;3506805
78;Bofete;SP;3506904
79;Boituva;SP;3507001
80;Bom Jesus dos Perdões;SP;3507100
81;Bom Sucesso de Itararé;SP;3507159
82;Borá;SP;3507209
83;Boracéia;SP;3507308
84;Borborema;SP;3507407
85;Borebi;SP;3507456
86;Botucatu;SP;3507506
87;Bragança Paulista;SP;3507605
88;Braúna;SP;3507704
89;Brejo Alegre;SP;3507753
90;Brodowski;SP;3507803
91;Brotas;SP;3507902
92;Buri;SP;3508009
93;Buritama;SP;3508108
94;Buritizal;SP;3508207
95;Cabrália Paulista;SP;3508306
96;Cabreúva;SP;3508405
97;Caçapava;SP;3508504
98;Cachoeira Paulista;SP;3508603
99;Caconde;SP;3508702
100;Cafelândia;SP;3508801
101;Caiabu;SP;3508900
102;Caieiras;SP;3509007
103;Caiuá;SP;3509106
104;Cajamar;SP;3509205
105;Cajati;SP;3509254
106;Cajobi;SP;3509304
107;Cajuru;SP;3509403
108;Campina do Monte Alegre;SP;3509452
109;Campinas;SP;3509502
110;Campo Limpo Paulista;SP;3509601
111;Campos do Jordão;SP;3509700
112;Campos Novos Paulista;SP;3509809
113;Cananéia;SP;3509908
114;Canas;SP;3509957
115;Cândido Mota;SP;3510005
116;Cândido Rodrigues;SP;3510104
117;Canitar;SP;3510153
118;Capão Bonito;SP;3510203
119;Capela do Alto;SP;3510302
120;Capivari;SP;3510401
121;Caraguatatuba;SP;3510500
122;Carapicuíba;SP;3510609
123;Cardoso;SP;3510708
124;Casa Branca;SP;3510807
125;Cássia dos Coqueiros;SP;3510906
126;Castilho;SP;3511003
127;Catanduva;SP;3511102
128;Catiguá;SP;3511201
129;Cedral;SP;3511300
130;Cerqueira César;SP;3511409
131;Cerquilho;SP;3511508
132;Cesário Lange;SP;3511607
133;Charqueada;SP;3511706
134;Clementina;SP;3511904
135;Colina;SP;3512001
136;Colômbia;SP;3512100
137;Conchal;SP;3512209
138;Conchas;SP;3512308
139;Cordeirópolis;SP;3512407
140;Coroados;SP;3512506
141;Coronel Macedo;SP;3512605
142;Corumbataí;SP;3512704
143;Cosmópolis;SP;3512803
144;Cosmorama;SP;3512902
145;Cotia;SP;3513009
146;Cravinhos;SP;3513108
147;Cristais Paulista;SP;3513207
148;Cruzália;SP;3513306
149;Cruzeiro;SP;3513405
150;Cubatão;SP;3513504
151;Cunha;SP;3513603
152;Descalvado;SP;3513702
153;Diadema;SP;3513801
154;Dirce Reis;SP;3513850
155;Divinolândia;SP;3513900
156;Dobrada;SP;3514007
157;Dois Córregos;SP;3514106
158;Dolcinópolis;SP;3514205
159;Dourado;SP;3514304
160;Dracena;SP;3514403
161;Duartina;SP;3514502
162;Dumont;SP;3514601
163;Echaporã;SP;3514700
164;Eldorado;SP;3514809
165;Elias Fausto;SP;3514908
166;Elisiário;SP;3514924
167;Embaúba;SP;3514957
168;Embu das Artes;SP;3515004
169;Embu-Guaçu;SP;3515103
170;Emilianópolis;SP;3515129
171;Engenheiro Coelho;SP;3515152
172;Espírito Santo do Pinhal;SP;3515186
173;Espírito Santo do Turvo;SP;3515194
174;Estrela d'Oeste;SP;3515202
175;Estrela do Norte;SP;3515301
176;Euclides da Cunha Paulista;SP;3515350
177;Fartura;SP;3515400
178;Fernandópolis;SP;3515509
179;Fernando Prestes;SP;3515608
180;Fernão;SP;3515657
181;Ferraz de Vasconcelos;SP;3515707
182;Flora Rica;SP;3515806
183;Floreal;SP;3515905
