keycontagemfarmacias;qtdfarmacias;nomecidadecontagem;ufcontagem;codigoibge
1;4887;São Paulo (território);SP;3550308
2;585;Campinas;SP;3509502
3;513;Guarulhos;SP;3518800
4;339;Santo André;SP;3547809
5;330;Ribeirão Preto;SP;3543402
6;321;São Bernardo do Campo;SP;3548708
7;317;São José do Rio Preto;SP;3549805
8;312;Sorocaba;SP;3552205
9;310;Osasco;SP;3534401
10;297;São José dos Campos;SP;3549904
11;234;Jundiaí;SP;3525904
12;225;Franca;SP;3516200
13;210;Bauru;SP;3506003
14;202;Mogi das Cruzes;SP;3530607
15;196;Piracicaba;SP;3538709
16;183;Santos;SP;3548500
17;166;Marília;SP;3529005
18;166;Suzano;SP;3552502
19;163;Barueri;SP;3505708
20;153;Carapicuíba;SP;3510609
21;148;Guarujá;SP;3518701
22;148;Praia Grande;SP;3541000
23;147;Mauá;SP;3529401
24;145;Taubaté;SP;3554102
25;137;Presidente Prudente;SP;3541406
26;136;Hortolândia;SP;3519071
27;134;Americana;SP;3501608
28;134;São Carlos;SP;3548906
29;133;Cotia;SP;3513009
30;129;Itaquaquecetuba;SP;3523107
31;128;Limeira;SP;3526902
32;128;Diadema;SP;3513801
33;118;Araraquara;SP;3503208
34;115;Sumaré;SP;3552403
35;115;Araçatuba;SP;3502804
36;113;São Vicente;SP;3551009
37;111;São Caetano do Sul;SP;3548807
38;110;Taboão da Serra;SP;3552809
39;106;Indaiatuba;SP;3520509
40;98;Barretos;SP;3505500
41;96;Bragança Paulista;SP;3507605
42;96;Rio Claro;SP;3543907
43;95;Embu;SP;3515004
44;92;Catanduva;SP;3511102
45;89;Atibaia;SP;3504107
46;85;Pindamonhangaba;SP;3538006
47;83;Santa Bárbara d´Oeste;SP;3545803
48;82;Itapetininga;SP;3522307
49;82;Araras;SP;3503307
50;82;Jacareí;SP;3524402
51;81;Moji Mirim;SP;3530805
52;80;Itu;SP;3523909
53;79;Mogi Guaçu;SP;3530706
54;73;Birigui;SP;3506508
55;71;Itapevi;SP;3522505
56;71;Jaú;SP;3525300
57;70;Votuporanga;SP;3557105
58;68;Franco da Rocha;SP;3516408
59;68;Valinhos;SP;3556206
60;64;Itanhaém;SP;3522109
61;64;Matão;SP;3529302
62;64;Botucatu;SP;3507506
63;64;Itapecerica da Serra;SP;3522208
64;62;Francisco Morato;SP;3516309
65;62;Sertãozinho;SP;3551702
66;62;Caraguatatuba;SP;3510500
67;61;Votorantim;SP;3557006
68;61;Assis;SP;3504008
69;60;Guaratinguetá;SP;3518404
70;60;Ourinhos;SP;3534708
71;60;Itapeva;SP;3522406
72;59;Salto;SP;3545209
73;57;Ubatuba;SP;3555406
74;57;Ferraz de Vasconcelos;SP;3515707
75;56;Santana de Parnaíba;SP;3547304
76;55;Poá;SP;3539806
77;55;Fernandópolis;SP;3515509
78;54;Itatiba;SP;3523404
79;54;Avaré;SP;3504503
80;53;Ibiúna;SP;3519709
81;51;Tatuí;SP;3554003
82;50;Paulínia;SP;3536505
83;50;Ribeirão Pires;SP;3543303
