keypib;valorpib;anopib;setorpib;nomecidadepib;ufpib;codigoibge
1;;2010;Indústria;ADAMANTINA;SP;3500105
2;4663698000;2010;Indústria;ADOLFO;SP;3500204
3;;2010;Indústria;AGUAÍ;SP;3500303
4;0;2010;Indústria;ÁGUAS DA PRATA;SP;3500402
5;0;2010;Indústria;ÁGUAS DE LINDÓIA;SP;3500501
6;;2010;Indústria;ÁGUAS DE SANTA BÁRBARA;SP;3500550
7;6470376000;2010;Indústria;ÁGUAS DE SÃO PEDRO;SP;3500600
8;;2010;Indústria;AGUDOS;SP;3500709
9;4100987000;2010;Indústria;ALAMBARI;SP;3500758
10;0;2010;Indústria;ALFREDO MARCONDES;SP;3500808
11;4715998000;2010;Indústria;ALTAIR;SP;3500907
12;;2010;Indústria;ALTINÓPOLIS;SP;3501004
13;;2010;Indústria;ALTO ALEGRE;SP;3501103
14;0;2010;Indústria;ALUMÍNIO;SP;3501152
15;;2010;Indústria;ÁLVARES FLORENCE;SP;3501202
16;;2010;Indústria;ÁLVARES MACHADO;SP;3501301
17;1806274000;2010;Indústria;ÁLVARO DE CARVALHO;SP;3501400
18;1855902000;2010;Indústria;ALVINLÂNDIA;SP;3501509
19;2271238000;2010;Indústria;AMERICANA;SP;3501608
20;148670000;2010;Indústria;AMÉRICO BRASILIENSE;SP;3501707
21;2552901000;2010;Indústria;AMÉRICO DE CAMPOS;SP;3501806
22;1004041000;2010;Indústria;AMPARO;SP;3501905
23;;2010;Indústria;ANALÂNDIA;SP;3502002
24;;2010;Indústria;ANDRADINA;SP;3502101
25;;2010;Indústria;ANGATUBA;SP;3502200
26;;2010;Indústria;ANHEMBI;SP;3502309
27;3757006000;2010;Indústria;ANHUMAS;SP;3502408
28;0;2010;Indústria;APARECIDA;SP;3502507
29;;2010;Indústria;APARECIDA D'OESTE;SP;3502606
30;;2010;Indústria;APIAÍ;SP;3502705
31;0;2010;Indústria;ARAÇARIGUAMA;SP;3502754
32;0;2010;Indústria;ARAÇATUBA;SP;3502804
33;;2010;Indústria;ARAÇOIABA DA SERRA;SP;3502903
34;;2010;Indústria;ARAMINA;SP;3503000
35;5727069000;2010;Indústria;ARANDU;SP;3503109
36;1046643000;2010;Indústria;ARAPEÍ;SP;3503158
37;1430350000;2010;Indústria;ARARAQUARA;SP;3503208
38;1017139000;2010;Indústria;ARARAS;SP;3503307
39;1913145000;2010;Indústria;ARCO-ÍRIS;SP;3503356
40;9783938000;2010;Indústria;AREALVA;SP;3503406
41;712251000;2010;Indústria;AREIAS;SP;3503505
42;6092378000;2010;Indústria;AREIÓPOLIS;SP;3503604
43;;2010;Indústria;ARIRANHA;SP;3503703
44;;2010;Indústria;ARTUR NOGUEIRA;SP;3503802
45;0;2010;Indústria;ARUJÁ;SP;3503901
46;887023000;2010;Indústria;ASPÁSIA;SP;3503950
47;;2010;Indústria;ASSIS;SP;3504008
48;0;2010;Indústria;ATIBAIA;SP;3504107
49;;2010;Indústria;AURIFLAMA;SP;3504206
50;5921157000;2010;Indústria;AVAÍ;SP;3504305
51;;2010;Indústria;AVANHANDAVA;SP;3504404
52;;2010;Indústria;AVARÉ;SP;3504503
53;;2010;Indústria;BADY BASSITT;SP;3504602
54;2245081000;2010;Indústria;BALBINOS;SP;3504701
55;;2010;Indústria;BÁLSAMO;SP;3504800
56;0;2010;Indústria;BANANAL;SP;3504909
57;1118817000;2010;Indústria;BARÃO DE ANTONINA;SP;3505005
58;3118629000;2010;Indústria;BARBOSA;SP;3505104
59;183922000;2010;Indústria;BARIRI;SP;3505203
60;;2010;Indústria;BARRA BONITA;SP;3505302
61;0;2010;Indústria;BARRA DO CHAPÉU;SP;3505351
62;2673629000;2010;Indústria;BARRA DO TURVO;SP;3505401
63;0;2010;Indústria;BARRETOS;SP;3505500
64;;2010;Indústria;BARRINHA;SP;3505609
65;3864854000;2010;Indústria;BARUERI;SP;3505708
66;;2010;Indústria;BASTOS;SP;3505807
67;;2010;Indústria;BATATAIS;SP;3505906
68;1818952000;2010;Indústria;BAURU;SP;3506003
69;272163000;2010;Indústria;BEBEDOURO;SP;3506102
70;;2010;Indústria;BENTO DE ABREU;SP;3506201
71;;2010;Indústria;BERNARDINO DE CAMPOS;SP;3506300
72;0;2010;Indústria;BERTIOGA;SP;3506359
73;5364766000;2010;Indústria;BILAC;SP;3506409
74;;2010;Indústria;BIRIGUI;SP;3506508
75;;2010;Indústria;BIRITIBA MIRIM;SP;3506607
76;;2010;Indústria;BOA ESPERANÇA DO SUL;SP;3506706
77;;2010;Indústria;BOCAINA;SP;3506805
78;;2010;Indústria;BOFETE;SP;3506904
79;;2010;Indústria;BOITUVA;SP;3507001
80;0;2010;Indústria;BOM JESUS DOS PERDÕES;SP;3507100
81;0;2010;Indústria;BOM SUCESSO DE ITARARÉ;SP;3507159
82;0;2010;Indústria;BORÁ;SP;3507209
83;;2010;Indústria;BORACÉIA;SP;3507308
84;;2010;Indústria;BORBOREMA;SP;3507407
85;0;2010;Indústria;BOREBI;SP;3507456
86;1059448000;2010;Indústria;BOTUCATU;SP;3507506
87;0;2010;Indústria;BRAGANÇA PAULISTA;SP;3507605
88;5741659000;2010;Indústria;BRAÚNA;SP;3507704
89;0;2010;Indústria;BREJO ALEGRE;SP;3507753
90;;2010;Indústria;BRODOWSKI;SP;3507803
91;;2010;Indústria;BROTAS;SP;3507902
92;;2010;Indústria;BURI;SP;3508009
93;;2010;Indústria;BURITAMA;SP;3508108
94;3968586000;2010;Indústria;BURITIZAL;SP;3508207
95;7178622000;2010;Indústria;CABRÁLIA PAULISTA;SP;3508306
96;;2010;Indústria;CABREÚVA;SP;3508405
97;1227112000;2010;Indústria;CAÇAPAVA;SP;3508504
98;0;2010;Indústria;CACHOEIRA PAULISTA;SP;3508603
99;;2010;Indústria;CACONDE;SP;3508702
100;;2010;Indústria;CAFELÂNDIA;SP;3508801
101;3746293000;2010;Indústria;CAIABU;SP;3508900
102;0;2010;Indústria;CAIEIRAS;SP;3509007
103;3017491000;2010;Indústria;CAIUÁ;SP;3509106
104;1721080000;2010;Indústria;CAJAMAR;SP;3509205
105;;2010;Indústria;CAJATI;SP;3509254
106;5595821000;2010;Indústria;CAJOBI;SP;3509304
107;0;2010;Indústria;CAJURU;SP;3509403
108;3628532000;2010;Indústria;CAMPINA DO MONTE ALEGRE;SP;3509452
109;7585553000;2010;Indústria;CAMPINAS;SP;3509502
110;0;2010;Indústria;CAMPO LIMPO PAULISTA;SP;3509601
111;0;2010;Indústria;CAMPOS DO JORDÃO;SP;3509700
112;3528036000;2010;Indústria;CAMPOS NOVOS PAULISTA;SP;3509809
113;;2010;Indústria;CANANÉIA;SP;3509908
114;3548084000;2010;Indústria;CANAS;SP;3509957
115;;2010;Indústria;CÂNDIDO MOTA;SP;3510005
116;4557603000;2010;Indústria;CÂNDIDO RODRIGUES;SP;3510104
117;0;2010;Indústria;CANITAR;SP;3510153
118;;2010;Indústria;CAPÃO BONITO;SP;3510203
119;;2010;Indústria;CAPELA DO ALTO;SP;3510302
120;;2010;Indústria;CAPIVARI;SP;3510401
121;0;2010;Indústria;CARAGUATATUBA;SP;3510500
122;0;2010;Indústria;CARAPICUÍBA;SP;3510609
123;7959379000;2010;Indústria;CARDOSO;SP;3510708
124;;2010;Indústria;CASA BRANCA;SP;3510807
125;3139285000;2010;Indústria;CÁSSIA DOS COQUEIROS;SP;3510906
126;;2010;Indústria;CASTILHO;SP;3511003
127;0;2010;Indústria;CATANDUVA;SP;3511102
128;4814675000;2010;Indústria;CATIGUÁ;SP;3511201
129;;2010;Indústria;CEDRAL;SP;3511300
130;;2010;Indústria;CERQUEIRA CÉSAR;SP;3511409
131;486335000;2010;Indústria;CERQUILHO;SP;3511508
132;;2010;Indústria;CESÁRIO LANGE;SP;3511607
133;;2010;Indústria;CHARQUEADA;SP;3511706
134;;2010;Indústria;CHAVANTES;SP;3557204
135;;2010;Indústria;CLEMENTINA;SP;3511904
136;;2010;Indústria;COLINA;SP;3512001
137;;2010;Indústria;COLÔMBIA;SP;3512100
138;;2010;Indústria;CONCHAL;SP;3512209
139;;2010;Indústria;CONCHAS;SP;3512308
140;0;2010;Indústria;CORDEIRÓPOLIS;SP;3512407
141;;2010;Indústria;COROADOS;SP;3512506
142;2355735000;2010;Indústria;CORONEL MACEDO;SP;3512605
143;5619532000;2010;Indústria;CORUMBATAÍ;SP;3512704
144;0;2010;Indústria;COSMÓPOLIS;SP;3512803
145;;2010;Indústria;COSMORAMA;SP;3512902
146;2088390000;2010;Indústria;COTIA;SP;3513009
147;0;2010;Indústria;CRAVINHOS;SP;3513108
148;8329494000;2010;Indústria;CRISTAIS PAULISTA;SP;3513207
149;1813017000;2010;Indústria;CRUZÁLIA;SP;3513306
150;0;2010;Indústria;CRUZEIRO;SP;3513405
151;4824853000;2010;Indústria;CUBATÃO;SP;3513504
152;4278444000;2010;Indústria;CUNHA;SP;3513603
153;0;2010;Indústria;DESCALVADO;SP;3513702
154;3782401000;2010;Indústria;DIADEMA;SP;3513801
155;8507255000;2010;Indústria;DIRCE REIS;SP;3513850
156;6867814000;2010;Indústria;DIVINOLÂNDIA;SP;3513900
157;2659495000;2010;Indústria;DOBRADA;SP;3514007
158;;2010;Indústria;DOIS CÓRREGOS;SP;3514106
159;2285765000;2010;Indústria;DOLCINÓPOLIS;SP;3514205
160;;2010;Indústria;DOURADO;SP;3514304
161;;2010;Indústria;DRACENA;SP;3514403
162;;2010;Indústria;DUARTINA;SP;3514502
163;;2010;Indústria;DUMONT;SP;3514601
164;4126067000;2010;Indústria;ECHAPORÃ;SP;3514700
165;8845731000;2010;Indústria;ELDORADO;SP;3514809
166;;2010;Indústria;ELIAS FAUSTO;SP;3514908
167;3242387000;2010;Indústria;ELISIÁRIO;SP;3514924
168;0;2010;Indústria;EMBAÚBA;SP;3514957
169;0;2010;Indústria;EMBU DAS ARTES;SP;3515004
170;0;2010;Indústria;EMBU-GUAÇU;SP;3515103
171;2331016000;2010;Indústria;EMILIANÓPOLIS;SP;3515129
172;;2010;Indústria;ENGENHEIRO COELHO;SP;3515152
173;0;2010;Indústria;ESPÍRITO SANTO DO PINHAL;SP;3515186
174;;2010;Indústria;ESPÍRITO SANTO DO TURVO;SP;3515194
175;77340000;2010;Indústria;ESTIVA GERBI;SP;3557303
176;;2010;Indústria;ESTRELA D'OESTE;SP;3515202
177;2936782000;2010;Indústria;ESTRELA DO NORTE;SP;3515301
178;3687191000;2010;Indústria;EUCLIDES DA CUNHA PAULISTA;SP;3515350
179;;2010;Indústria;FARTURA;SP;3515400
180;9970184000;2010;Indústria;FERNANDO PRESTES;SP;3515608
181;;2010;Indústria;FERNANDÓPOLIS;SP;3515509
182;1114945000;2010;Indústria;FERNÃO;SP;3515657
183;0;2010;Indústria;FERRAZ DE VASCONCELOS;SP;3515707
184;1112941000;2010;Indústria;FLORA RICA;SP;3515806
185;4045578000;2010;Indústria;FLOREAL;SP;3515905
186;;2010;Indústria;FLÓRIDA PAULISTA;SP;3516002
187;3330285000;2010;Indústria;FLORÍNEA;SP;3516101
188;1083655000;2010;Indústria;FRANCA;SP;3516200
189;0;2010;Indústria;FRANCISCO MORATO;SP;3516309
190;0;2010;Indústria;FRANCO DA ROCHA;SP;3516408
191;5782906000;2010;Indústria;GABRIEL MONTEIRO;SP;3516507
192;;2010;Indústria;GÁLIA;SP;3516606
193;;2010;Indústria;GARÇA;SP;3516705
194;;2010;Indústria;GASTÃO VIDIGAL;SP;3516804
195;5627276000;2010;Indústria;GAVIÃO PEIXOTO;SP;3516853
196;0;2010;Indústria;GENERAL SALGADO;SP;3516903
197;7569984000;2010;Indústria;GETULINA;SP;3517000
198;7154519000;2010;Indústria;GLICÉRIO;SP;3517109
199;;2010;Indústria;GUAIÇARA;SP;3517208
200;2041278000;2010;Indústria;GUAIMBÊ;SP;3517307
201;;2010;Indústria;GUAÍRA;SP;3517406
202;;2010;Indústria;GUAPIAÇU;SP;3517505
203;;2010;Indústria;GUAPIARA;SP;3517604
204;;2010;Indústria;GUARÁ;SP;3517703
205;6834118000;2010;Indústria;GUARAÇAÍ;SP;3517802
206;;2010;Indústria;GUARACI;SP;3517901
207;2055693000;2010;Indústria;GUARANI D'OESTE;SP;3518008
208;;2010;Indústria;GUARANTÃ;SP;3518107
209;0;2010;Indústria;GUARARAPES;SP;3518206
210;;2010;Indústria;GUARAREMA;SP;3518305
211;1013672000;2010;Indústria;GUARATINGUETÁ;SP;3518404
212;;2010;Indústria;GUAREÍ;SP;3518503
213;;2010;Indústria;GUARIBA;SP;3518602
214;0;2010;Indústria;GUARUJÁ;SP;3518701
215;10107857000;2010;Indústria;GUARULHOS;SP;3518800
216;4365128000;2010;Indústria;GUATAPARÁ;SP;3518859
217;3387996000;2010;Indústria;GUZOLÂNDIA;SP;3518909
218;;2010;Indústria;HERCULÂNDIA;SP;3519006
219;0;2010;Indústria;HOLAMBRA;SP;3519055
220;3413926000;2010;Indústria;HORTOLÂNDIA;SP;3519071
221;;2010;Indústria;IACANGA;SP;3519105
222;6002691000;2010;Indústria;IACRI;SP;3519204
223;3860916000;2010;Indústria;IARAS;SP;3519253
224;;2010;Indústria;IBATÉ;SP;3519303
225;;2010;Indústria;IBIRÁ;SP;3519402
226;;2010;Indústria;IBIRAREMA;SP;3519501
227;;2010;Indústria;IBITINGA;SP;3519600
228;0;2010;Indústria;IBIÚNA;SP;3519709
229;;2010;Indústria;ICÉM;SP;3519808
230;6781669000;2010;Indústria;IEPÊ;SP;3519907
231;0;2010;Indústria;IGARAÇU DO TIETÊ;SP;3520004
232;;2010;Indústria;IGARAPAVA;SP;3520103
233;0;2010;Indústria;IGARATÁ;SP;3520202
234;;2010;Indústria;IGUAPE;SP;3520301
235;8578049000;2010;Indústria;ILHA COMPRIDA;SP;3520426
236;;2010;Indústria;ILHA SOLTEIRA;SP;3520442
237;0;2010;Indústria;ILHABELA;SP;3520400
238;2929318000;2010;Indústria;INDAIATUBA;SP;3520509
239;0;2010;Indústria;INDIANA;SP;3520608
240;3285012000;2010;Indústria;INDIAPORÃ;SP;3520707
241;4835747000;2010;Indústria;INÚBIA PAULISTA;SP;3520806
