keypopulacao;contagempop;faixaetariapop;sexopop;nomecidadepopulacao;ufpopulacao;codigoibge
1;866;00-04;M;Adamantina;SP;3500105
2;844;05-09;M;Adamantina;SP;3500105
3;853;10-14;M;Adamantina;SP;3500105
4;933;15-19;M;Adamantina;SP;3500105
5;1093;20-24;M;Adamantina;SP;3500105
6;1112;25-29;M;Adamantina;SP;3500105
7;1346;30-34;M;Adamantina;SP;3500105
8;1316;35-39;M;Adamantina;SP;3500105
9;1277;40-44;M;Adamantina;SP;3500105
10;1287;45-49;M;Adamantina;SP;3500105
11;1301;50-54;M;Adamantina;SP;3500105
12;1296;55-59;M;Adamantina;SP;3500105
13;1254;60-64;M;Adamantina;SP;3500105
14;998;65-69;M;Adamantina;SP;3500105
15;774;70-74;M;Adamantina;SP;3500105
16;620;75-79;M;Adamantina;SP;3500105
17;438;80-84;M;Adamantina;SP;3500105
18;246;85-89;M;Adamantina;SP;3500105
19;128;90+;M;Adamantina;SP;3500105
20;897;00-04;H;Adamantina;SP;3500105
21;895;05-09;H;Adamantina;SP;3500105
22;913;10-14;H;Adamantina;SP;3500105
23;983;15-19;H;Adamantina;SP;3500105
24;1095;20-24;H;Adamantina;SP;3500105
25;1128;25-29;H;Adamantina;SP;3500105
26;1275;30-34;H;Adamantina;SP;3500105
27;1275;35-39;H;Adamantina;SP;3500105
28;1279;40-44;H;Adamantina;SP;3500105
29;1125;45-49;H;Adamantina;SP;3500105
30;1129;50-54;H;Adamantina;SP;3500105
31;1174;55-59;H;Adamantina;SP;3500105
32;1036;60-64;H;Adamantina;SP;3500105
33;840;65-69;H;Adamantina;SP;3500105
34;650;70-74;H;Adamantina;SP;3500105
35;454;75-79;H;Adamantina;SP;3500105
36;313;80-84;H;Adamantina;SP;3500105
37;157;85-89;H;Adamantina;SP;3500105
38;87;90+;H;Adamantina;SP;3500105
39;111;00-04;M;Adolfo;SP;3500204
40;120;05-09;M;Adolfo;SP;3500204
41;133;10-14;M;Adolfo;SP;3500204
42;126;15-19;M;Adolfo;SP;3500204
43;112;20-24;M;Adolfo;SP;3500204
44;143;25-29;M;Adolfo;SP;3500204
45;148;30-34;M;Adolfo;SP;3500204
46;171;35-39;M;Adolfo;SP;3500204
47;148;40-44;M;Adolfo;SP;3500204
48;132;45-49;M;Adolfo;SP;3500204
49;170;50-54;M;Adolfo;SP;3500204
50;176;55-59;M;Adolfo;SP;3500204
51;143;60-64;M;Adolfo;SP;3500204
52;130;65-69;M;Adolfo;SP;3500204
53;92;70-74;M;Adolfo;SP;3500204
54;63;75-79;M;Adolfo;SP;3500204
55;42;80-84;M;Adolfo;SP;3500204
56;18;85-89;M;Adolfo;SP;3500204
57;20;90+;M;Adolfo;SP;3500204
58;131;00-04;H;Adolfo;SP;3500204
59;171;05-09;H;Adolfo;SP;3500204
60;115;10-14;H;Adolfo;SP;3500204
61;145;15-19;H;Adolfo;SP;3500204
62;142;20-24;H;Adolfo;SP;3500204
63;145;25-29;H;Adolfo;SP;3500204
64;150;30-34;H;Adolfo;SP;3500204
65;153;35-39;H;Adolfo;SP;3500204
66;137;40-44;H;Adolfo;SP;3500204
67;131;45-49;H;Adolfo;SP;3500204
68;137;50-54;H;Adolfo;SP;3500204
69;155;55-59;H;Adolfo;SP;3500204
70;133;60-64;H;Adolfo;SP;3500204
71;117;65-69;H;Adolfo;SP;3500204
72;86;70-74;H;Adolfo;SP;3500204
73;72;75-79;H;Adolfo;SP;3500204
74;23;80-84;H;Adolfo;SP;3500204
75;6;85-89;H;Adolfo;SP;3500204
76;4;90+;H;Adolfo;SP;3500204
77;946;00-04;M;Aguaí;SP;3500303
78;1011;05-09;M;Aguaí;SP;3500303
79;996;10-14;M;Aguaí;SP;3500303
80;1088;15-19;M;Aguaí;SP;3500303
81;1183;20-24;M;Aguaí;SP;3500303
82;1160;25-29;M;Aguaí;SP;3500303
83;1182;30-34;M;Aguaí;SP;3500303
84;1258;35-39;M;Aguaí;SP;3500303
85;1225;40-44;M;Aguaí;SP;3500303
86;1108;45-49;M;Aguaí;SP;3500303
87;1034;50-54;M;Aguaí;SP;3500303
88;1003;55-59;M;Aguaí;SP;3500303
89;901;60-64;M;Aguaí;SP;3500303
90;732;65-69;M;Aguaí;SP;3500303
91;574;70-74;M;Aguaí;SP;3500303
92;349;75-79;M;Aguaí;SP;3500303
93;235;80-84;M;Aguaí;SP;3500303
94;128;85-89;M;Aguaí;SP;3500303
95;81;90+;M;Aguaí;SP;3500303
96;1024;00-04;H;Aguaí;SP;3500303
97;1050;05-09;H;Aguaí;SP;3500303
98;1128;10-14;H;Aguaí;SP;3500303
99;1092;15-19;H;Aguaí;SP;3500303
100;1177;20-24;H;Aguaí;SP;3500303
101;1251;25-29;H;Aguaí;SP;3500303
102;1129;30-34;H;Aguaí;SP;3500303
103;1288;35-39;H;Aguaí;SP;3500303
104;1226;40-44;H;Aguaí;SP;3500303
105;1036;45-49;H;Aguaí;SP;3500303
106;972;50-54;H;Aguaí;SP;3500303
107;916;55-59;H;Aguaí;SP;3500303
108;871;60-64;H;Aguaí;SP;3500303
109;677;65-69;H;Aguaí;SP;3500303
110;497;70-74;H;Aguaí;SP;3500303
111;273;75-79;H;Aguaí;SP;3500303
112;145;80-84;H;Aguaí;SP;3500303
113;79;85-89;H;Aguaí;SP;3500303
114;47;90+;H;Aguaí;SP;3500303
115;174;00-04;M;Águas da Prata;SP;3500402
116;225;05-09;M;Águas da Prata;SP;3500402
117;198;10-14;M;Águas da Prata;SP;3500402
118;186;15-19;M;Águas da Prata;SP;3500402
119;188;20-24;M;Águas da Prata;SP;3500402
338;117;70-74;H;Alambari;SP;3500758
120;192;25-29;M;Águas da Prata;SP;3500402
121;226;30-34;M;Águas da Prata;SP;3500402
122;270;35-39;M;Águas da Prata;SP;3500402
123;275;40-44;M;Águas da Prata;SP;3500402
124;254;45-49;M;Águas da Prata;SP;3500402
125;232;50-54;M;Águas da Prata;SP;3500402
126;285;55-59;M;Águas da Prata;SP;3500402
127;269;60-64;M;Águas da Prata;SP;3500402
128;290;65-69;M;Águas da Prata;SP;3500402
129;188;70-74;M;Águas da Prata;SP;3500402
130;147;75-79;M;Águas da Prata;SP;3500402
131;99;80-84;M;Águas da Prata;SP;3500402
132;76;85-89;M;Águas da Prata;SP;3500402
133;59;90+;M;Águas da Prata;SP;3500402
134;169;00-04;H;Águas da Prata;SP;3500402
135;197;05-09;H;Águas da Prata;SP;3500402
136;185;10-14;H;Águas da Prata;SP;3500402
137;194;15-19;H;Águas da Prata;SP;3500402
138;207;20-24;H;Águas da Prata;SP;3500402
139;205;25-29;H;Águas da Prata;SP;3500402
140;231;30-34;H;Águas da Prata;SP;3500402
141;262;35-39;H;Águas da Prata;SP;3500402
142;253;40-44;H;Águas da Prata;SP;3500402
143;251;45-49;H;Águas da Prata;SP;3500402
144;223;50-54;H;Águas da Prata;SP;3500402
145;247;55-59;H;Águas da Prata;SP;3500402
146;267;60-64;H;Águas da Prata;SP;3500402
147;225;65-69;H;Águas da Prata;SP;3500402
148;164;70-74;H;Águas da Prata;SP;3500402
149;105;75-79;H;Águas da Prata;SP;3500402
150;86;80-84;H;Águas da Prata;SP;3500402
151;43;85-89;H;Águas da Prata;SP;3500402
152;22;90+;H;Águas da Prata;SP;3500402
153;385;00-04;M;Águas de Lindóia;SP;3500501
154;460;05-09;M;Águas de Lindóia;SP;3500501
155;493;10-14;M;Águas de Lindóia;SP;3500501
156;482;15-19;M;Águas de Lindóia;SP;3500501
157;534;20-24;M;Águas de Lindóia;SP;3500501
158;551;25-29;M;Águas de Lindóia;SP;3500501
159;625;30-34;M;Águas de Lindóia;SP;3500501
160;659;35-39;M;Águas de Lindóia;SP;3500501
161;748;40-44;M;Águas de Lindóia;SP;3500501
162;693;45-49;M;Águas de Lindóia;SP;3500501
163;698;50-54;M;Águas de Lindóia;SP;3500501
164;657;55-59;M;Águas de Lindóia;SP;3500501
165;608;60-64;M;Águas de Lindóia;SP;3500501
166;534;65-69;M;Águas de Lindóia;SP;3500501
167;433;70-74;M;Águas de Lindóia;SP;3500501
168;273;75-79;M;Águas de Lindóia;SP;3500501
169;172;80-84;M;Águas de Lindóia;SP;3500501
170;127;85-89;M;Águas de Lindóia;SP;3500501
171;77;90+;M;Águas de Lindóia;SP;3500501
172;418;00-04;H;Águas de Lindóia;SP;3500501
173;483;05-09;H;Águas de Lindóia;SP;3500501
174;532;10-14;H;Águas de Lindóia;SP;3500501
175;563;15-19;H;Águas de Lindóia;SP;3500501
176;542;20-24;H;Águas de Lindóia;SP;3500501
177;584;25-29;H;Águas de Lindóia;SP;3500501
178;547;30-34;H;Águas de Lindóia;SP;3500501
179;677;35-39;H;Águas de Lindóia;SP;3500501
180;717;40-44;H;Águas de Lindóia;SP;3500501
181;594;45-49;H;Águas de Lindóia;SP;3500501
182;595;50-54;H;Águas de Lindóia;SP;3500501
183;604;55-59;H;Águas de Lindóia;SP;3500501
184;543;60-64;H;Águas de Lindóia;SP;3500501
185;457;65-69;H;Águas de Lindóia;SP;3500501
186;359;70-74;H;Águas de Lindóia;SP;3500501
187;229;75-79;H;Águas de Lindóia;SP;3500501
188;163;80-84;H;Águas de Lindóia;SP;3500501
189;73;85-89;H;Águas de Lindóia;SP;3500501
190;41;90+;H;Águas de Lindóia;SP;3500501
191;187;00-04;M;Águas de Santa Bárbara;SP;3500550
192;206;05-09;M;Águas de Santa Bárbara;SP;3500550
193;239;10-14;M;Águas de Santa Bárbara;SP;3500550
194;231;15-19;M;Águas de Santa Bárbara;SP;3500550
195;210;20-24;M;Águas de Santa Bárbara;SP;3500550
196;218;25-29;M;Águas de Santa Bárbara;SP;3500550
197;228;30-34;M;Águas de Santa Bárbara;SP;3500550
198;225;35-39;M;Águas de Santa Bárbara;SP;3500550
199;283;40-44;M;Águas de Santa Bárbara;SP;3500550
200;259;45-49;M;Águas de Santa Bárbara;SP;3500550
201;241;50-54;M;Águas de Santa Bárbara;SP;3500550
202;277;55-59;M;Águas de Santa Bárbara;SP;3500550
203;250;60-64;M;Águas de Santa Bárbara;SP;3500550
204;179;65-69;M;Águas de Santa Bárbara;SP;3500550
205;157;70-74;M;Águas de Santa Bárbara;SP;3500550
206;91;75-79;M;Águas de Santa Bárbara;SP;3500550
207;60;80-84;M;Águas de Santa Bárbara;SP;3500550
208;38;85-89;M;Águas de Santa Bárbara;SP;3500550
209;20;90+;M;Águas de Santa Bárbara;SP;3500550
210;190;00-04;H;Águas de Santa Bárbara;SP;3500550
211;254;05-09;H;Águas de Santa Bárbara;SP;3500550
212;258;10-14;H;Águas de Santa Bárbara;SP;3500550
213;253;15-19;H;Águas de Santa Bárbara;SP;3500550
214;213;20-24;H;Águas de Santa Bárbara;SP;3500550
215;214;25-29;H;Águas de Santa Bárbara;SP;3500550
216;230;30-34;H;Águas de Santa Bárbara;SP;3500550
217;256;35-39;H;Águas de Santa Bárbara;SP;3500550
218;215;40-44;H;Águas de Santa Bárbara;SP;3500550
219;251;45-49;H;Águas de Santa Bárbara;SP;3500550
220;226;50-54;H;Águas de Santa Bárbara;SP;3500550
221;216;55-59;H;Águas de Santa Bárbara;SP;3500550
222;226;60-64;H;Águas de Santa Bárbara;SP;3500550
223;215;65-69;H;Águas de Santa Bárbara;SP;3500550
224;164;70-74;H;Águas de Santa Bárbara;SP;3500550
225;91;75-79;H;Águas de Santa Bárbara;SP;3500550
226;70;80-84;H;Águas de Santa Bárbara;SP;3500550
227;20;85-89;H;Águas de Santa Bárbara;SP;3500550
228;16;90+;H;Águas de Santa Bárbara;SP;3500550
229;56;00-04;M;Águas de São Pedro;SP;3500600
230;63;05-09;M;Águas de São Pedro;SP;3500600
231;66;10-14;M;Águas de São Pedro;SP;3500600
232;59;15-19;M;Águas de São Pedro;SP;3500600
233;68;20-24;M;Águas de São Pedro;SP;3500600
234;57;25-29;M;Águas de São Pedro;SP;3500600
235;71;30-34;M;Águas de São Pedro;SP;3500600
236;90;35-39;M;Águas de São Pedro;SP;3500600
237;111;40-44;M;Águas de São Pedro;SP;3500600
238;99;45-49;M;Águas de São Pedro;SP;3500600
239;94;50-54;M;Águas de São Pedro;SP;3500600
240;91;55-59;M;Águas de São Pedro;SP;3500600
241;169;60-64;M;Águas de São Pedro;SP;3500600
242;119;65-69;M;Águas de São Pedro;SP;3500600
243;90;70-74;M;Águas de São Pedro;SP;3500600
244;67;75-79;M;Águas de São Pedro;SP;3500600
245;73;80-84;M;Águas de São Pedro;SP;3500600
246;29;85-89;M;Águas de São Pedro;SP;3500600
247;19;90+;M;Águas de São Pedro;SP;3500600
248;41;00-04;H;Águas de São Pedro;SP;3500600
249;57;05-09;H;Águas de São Pedro;SP;3500600
250;83;10-14;H;Águas de São Pedro;SP;3500600
251;73;15-19;H;Águas de São Pedro;SP;3500600
252;91;20-24;H;Águas de São Pedro;SP;3500600
253;80;25-29;H;Águas de São Pedro;SP;3500600
254;72;30-34;H;Águas de São Pedro;SP;3500600
255;83;35-39;H;Águas de São Pedro;SP;3500600
256;77;40-44;H;Águas de São Pedro;SP;3500600
257;80;45-49;H;Águas de São Pedro;SP;3500600
258;88;50-54;H;Águas de São Pedro;SP;3500600
259;86;55-59;H;Águas de São Pedro;SP;3500600
260;83;60-64;H;Águas de São Pedro;SP;3500600
261;93;65-69;H;Águas de São Pedro;SP;3500600
262;81;70-74;H;Águas de São Pedro;SP;3500600
263;52;75-79;H;Águas de São Pedro;SP;3500600
264;35;80-84;H;Águas de São Pedro;SP;3500600
265;26;85-89;H;Águas de São Pedro;SP;3500600
266;8;90+;H;Águas de São Pedro;SP;3500600
267;1174;00-04;M;Agudos;SP;3500709
268;1297;05-09;M;Agudos;SP;3500709
269;1205;10-14;M;Agudos;SP;3500709
270;1140;15-19;M;Agudos;SP;3500709
271;1289;20-24;M;Agudos;SP;3500709
272;1353;25-29;M;Agudos;SP;3500709
273;1441;30-34;M;Agudos;SP;3500709
274;1513;35-39;M;Agudos;SP;3500709
275;1535;40-44;M;Agudos;SP;3500709
276;1391;45-49;M;Agudos;SP;3500709
277;1203;50-54;M;Agudos;SP;3500709
278;1161;55-59;M;Agudos;SP;3500709
279;1057;60-64;M;Agudos;SP;3500709
280;856;65-69;M;Agudos;SP;3500709
281;630;70-74;M;Agudos;SP;3500709
282;418;75-79;M;Agudos;SP;3500709
283;301;80-84;M;Agudos;SP;3500709
284;168;85-89;M;Agudos;SP;3500709
285;87;90+;M;Agudos;SP;3500709
286;1164;00-04;H;Agudos;SP;3500709
287;1228;05-09;H;Agudos;SP;3500709
288;1351;10-14;H;Agudos;SP;3500709
289;1256;15-19;H;Agudos;SP;3500709
290;1324;20-24;H;Agudos;SP;3500709
291;1387;25-29;H;Agudos;SP;3500709
292;1381;30-34;H;Agudos;SP;3500709
293;1485;35-39;H;Agudos;SP;3500709
294;1465;40-44;H;Agudos;SP;3500709
295;1344;45-49;H;Agudos;SP;3500709
296;1175;50-54;H;Agudos;SP;3500709
297;988;55-59;H;Agudos;SP;3500709
298;924;60-64;H;Agudos;SP;3500709
299;768;65-69;H;Agudos;SP;3500709
300;535;70-74;H;Agudos;SP;3500709
301;340;75-79;H;Agudos;SP;3500709
302;210;80-84;H;Agudos;SP;3500709
303;97;85-89;H;Agudos;SP;3500709
304;39;90+;H;Agudos;SP;3500709
305;193;00-04;M;Alambari;SP;3500758
306;186;05-09;M;Alambari;SP;3500758
307;215;10-14;M;Alambari;SP;3500758
308;198;15-19;M;Alambari;SP;3500758
309;203;20-24;M;Alambari;SP;3500758
310;221;25-29;M;Alambari;SP;3500758
311;229;30-34;M;Alambari;SP;3500758
312;258;35-39;M;Alambari;SP;3500758
313;229;40-44;M;Alambari;SP;3500758
314;199;45-49;M;Alambari;SP;3500758
315;172;50-54;M;Alambari;SP;3500758
316;186;55-59;M;Alambari;SP;3500758
317;177;60-64;M;Alambari;SP;3500758
318;157;65-69;M;Alambari;SP;3500758
319;107;70-74;M;Alambari;SP;3500758
320;46;75-79;M;Alambari;SP;3500758
321;35;80-84;M;Alambari;SP;3500758
322;21;85-89;M;Alambari;SP;3500758
323;10;90+;M;Alambari;SP;3500758
324;174;00-04;H;Alambari;SP;3500758
325;232;05-09;H;Alambari;SP;3500758
326;221;10-14;H;Alambari;SP;3500758
327;205;15-19;H;Alambari;SP;3500758
328;232;20-24;H;Alambari;SP;3500758
329;212;25-29;H;Alambari;SP;3500758
330;215;30-34;H;Alambari;SP;3500758
331;260;35-39;H;Alambari;SP;3500758
332;232;40-44;H;Alambari;SP;3500758
333;203;45-49;H;Alambari;SP;3500758
334;175;50-54;H;Alambari;SP;3500758
335;160;55-59;H;Alambari;SP;3500758
336;193;60-64;H;Alambari;SP;3500758
337;159;65-69;H;Alambari;SP;3500758
339;65;75-79;H;Alambari;SP;3500758
340;27;80-84;H;Alambari;SP;3500758
341;13;85-89;H;Alambari;SP;3500758
342;4;90+;H;Alambari;SP;3500758
343;111;00-04;M;Alfredo Marcondes;SP;3500808
344;128;05-09;M;Alfredo Marcondes;SP;3500808
345;133;10-14;M;Alfredo Marcondes;SP;3500808
346;109;15-19;M;Alfredo Marcondes;SP;3500808
347;131;20-24;M;Alfredo Marcondes;SP;3500808
348;135;25-29;M;Alfredo Marcondes;SP;3500808
349;157;30-34;M;Alfredo Marcondes;SP;3500808
350;141;35-39;M;Alfredo Marcondes;SP;3500808
351;155;40-44;M;Alfredo Marcondes;SP;3500808
352;149;45-49;M;Alfredo Marcondes;SP;3500808
353;162;50-54;M;Alfredo Marcondes;SP;3500808
354;156;55-59;M;Alfredo Marcondes;SP;3500808
355;154;60-64;M;Alfredo Marcondes;SP;3500808
356;122;65-69;M;Alfredo Marcondes;SP;3500808
357;100;70-74;M;Alfredo Marcondes;SP;3500808
358;93;75-79;M;Alfredo Marcondes;SP;3500808
359;53;80-84;M;Alfredo Marcondes;SP;3500808
360;22;85-89;M;Alfredo Marcondes;SP;3500808
361;24;90+;M;Alfredo Marcondes;SP;3500808
362;132;00-04;H;Alfredo Marcondes;SP;3500808
363;122;05-09;H;Alfredo Marcondes;SP;3500808
364;128;10-14;H;Alfredo Marcondes;SP;3500808
365;138;15-19;H;Alfredo Marcondes;SP;3500808
366;145;20-24;H;Alfredo Marcondes;SP;3500808
367;142;25-29;H;Alfredo Marcondes;SP;3500808
368;129;30-34;H;Alfredo Marcondes;SP;3500808
369;149;35-39;H;Alfredo Marcondes;SP;3500808
370;170;40-44;H;Alfredo Marcondes;SP;3500808
371;155;45-49;H;Alfredo Marcondes;SP;3500808
372;152;50-54;H;Alfredo Marcondes;SP;3500808
373;144;55-59;H;Alfredo Marcondes;SP;3500808
374;151;60-64;H;Alfredo Marcondes;SP;3500808
375;97;65-69;H;Alfredo Marcondes;SP;3500808
376;85;70-74;H;Alfredo Marcondes;SP;3500808
377;89;75-79;H;Alfredo Marcondes;SP;3500808
378;42;80-84;H;Alfredo Marcondes;SP;3500808
379;28;85-89;H;Alfredo Marcondes;SP;3500808
380;12;90+;H;Alfredo Marcondes;SP;3500808
381;97;00-04;M;Altair;SP;3500907
382;128;05-09;M;Altair;SP;3500907
383;108;10-14;M;Altair;SP;3500907
384;109;15-19;M;Altair;SP;3500907
385;124;20-24;M;Altair;SP;3500907
386;104;25-29;M;Altair;SP;3500907
387;127;30-34;M;Altair;SP;3500907
388;120;35-39;M;Altair;SP;3500907
389;150;40-44;M;Altair;SP;3500907
390;110;45-49;M;Altair;SP;3500907
391;108;50-54;M;Altair;SP;3500907
392;103;55-59;M;Altair;SP;3500907
393;92;60-64;M;Altair;SP;3500907
394;74;65-69;M;Altair;SP;3500907
395;46;70-74;M;Altair;SP;3500907
396;54;75-79;M;Altair;SP;3500907
397;24;80-84;M;Altair;SP;3500907
398;12;85-89;M;Altair;SP;3500907
399;9;90+;M;Altair;SP;3500907
400;102;00-04;H;Altair;SP;3500907
401;108;05-09;H;Altair;SP;3500907
402;116;10-14;H;Altair;SP;3500907
403;118;15-19;H;Altair;SP;3500907
404;121;20-24;H;Altair;SP;3500907
405;124;25-29;H;Altair;SP;3500907
406;129;30-34;H;Altair;SP;3500907
407;145;35-39;H;Altair;SP;3500907
408;146;40-44;H;Altair;SP;3500907
409;120;45-49;H;Altair;SP;3500907
410;113;50-54;H;Altair;SP;3500907
411;112;55-59;H;Altair;SP;3500907
412;87;60-64;H;Altair;SP;3500907
413;68;65-69;H;Altair;SP;3500907
414;67;70-74;H;Altair;SP;3500907
415;39;75-79;H;Altair;SP;3500907
416;24;80-84;H;Altair;SP;3500907
417;8;85-89;H;Altair;SP;3500907
418;5;90+;H;Altair;SP;3500907
419;468;00-04;M;Altinópolis;SP;3501004
420;530;05-09;M;Altinópolis;SP;3501004
421;509;10-14;M;Altinópolis;SP;3501004
422;502;15-19;M;Altinópolis;SP;3501004
423;565;20-24;M;Altinópolis;SP;3501004
424;620;25-29;M;Altinópolis;SP;3501004
425;607;30-34;M;Altinópolis;SP;3501004
426;667;35-39;M;Altinópolis;SP;3501004
427;710;40-44;M;Altinópolis;SP;3501004
428;555;45-49;M;Altinópolis;SP;3501004
429;505;50-54;M;Altinópolis;SP;3501004
430;537;55-59;M;Altinópolis;SP;3501004
431;504;60-64;M;Altinópolis;SP;3501004
432;434;65-69;M;Altinópolis;SP;3501004
433;296;70-74;M;Altinópolis;SP;3501004
434;230;75-79;M;Altinópolis;SP;3501004
435;140;80-84;M;Altinópolis;SP;3501004
436;90;85-89;M;Altinópolis;SP;3501004
437;61;90+;M;Altinópolis;SP;3501004
438;518;00-04;H;Altinópolis;SP;3501004
439;538;05-09;H;Altinópolis;SP;3501004
440;530;10-14;H;Altinópolis;SP;3501004
441;530;15-19;H;Altinópolis;SP;3501004
442;603;20-24;H;Altinópolis;SP;3501004
443;623;25-29;H;Altinópolis;SP;3501004
444;592;30-34;H;Altinópolis;SP;3501004
445;629;35-39;H;Altinópolis;SP;3501004
446;637;40-44;H;Altinópolis;SP;3501004
447;518;45-49;H;Altinópolis;SP;3501004
448;491;50-54;H;Altinópolis;SP;3501004
449;502;55-59;H;Altinópolis;SP;3501004
450;423;60-64;H;Altinópolis;SP;3501004
451;410;65-69;H;Altinópolis;SP;3501004
452;306;70-74;H;Altinópolis;SP;3501004
453;207;75-79;H;Altinópolis;SP;3501004
454;142;80-84;H;Altinópolis;SP;3501004
455;64;85-89;H;Altinópolis;SP;3501004
456;25;90+;H;Altinópolis;SP;3501004
457;77;00-04;M;Alto Alegre;SP;3501103
458;97;05-09;M;Alto Alegre;SP;3501103
459;116;10-14;M;Alto Alegre;SP;3501103
460;107;15-19;M;Alto Alegre;SP;3501103
461;101;20-24;M;Alto Alegre;SP;3501103
462;90;25-29;M;Alto Alegre;SP;3501103
463;130;30-34;M;Alto Alegre;SP;3501103
464;123;35-39;M;Alto Alegre;SP;3501103
465;139;40-44;M;Alto Alegre;SP;3501103
466;134;45-49;M;Alto Alegre;SP;3501103
467;121;50-54;M;Alto Alegre;SP;3501103
468;154;55-59;M;Alto Alegre;SP;3501103
469;136;60-64;M;Alto Alegre;SP;3501103
470;121;65-69;M;Alto Alegre;SP;3501103
471;108;70-74;M;Alto Alegre;SP;3501103
472;68;75-79;M;Alto Alegre;SP;3501103
473;53;80-84;M;Alto Alegre;SP;3501103
474;23;85-89;M;Alto Alegre;SP;3501103
475;14;90+;M;Alto Alegre;SP;3501103
476;90;00-04;H;Alto Alegre;SP;3501103
477;93;05-09;H;Alto Alegre;SP;3501103
478;105;10-14;H;Alto Alegre;SP;3501103
479;93;15-19;H;Alto Alegre;SP;3501103
480;104;20-24;H;Alto Alegre;SP;3501103
481;109;25-29;H;Alto Alegre;SP;3501103
482;116;30-34;H;Alto Alegre;SP;3501103
483;143;35-39;H;Alto Alegre;SP;3501103
484;159;40-44;H;Alto Alegre;SP;3501103
485;133;45-49;H;Alto Alegre;SP;3501103
486;144;50-54;H;Alto Alegre;SP;3501103
487;125;55-59;H;Alto Alegre;SP;3501103
488;135;60-64;H;Alto Alegre;SP;3501103
489;105;65-69;H;Alto Alegre;SP;3501103
490;118;70-74;H;Alto Alegre;SP;3501103
491;81;75-79;H;Alto Alegre;SP;3501103
492;46;80-84;H;Alto Alegre;SP;3501103
493;20;85-89;H;Alto Alegre;SP;3501103
494;10;90+;H;Alto Alegre;SP;3501103
495;533;00-04;M;Alumínio;SP;3501152
496;600;05-09;M;Alumínio;SP;3501152
497;584;10-14;M;Alumínio;SP;3501152
498;621;15-19;M;Alumínio;SP;3501152
499;643;20-24;M;Alumínio;SP;3501152
500;621;25-29;M;Alumínio;SP;3501152
501;648;30-34;M;Alumínio;SP;3501152
502;737;35-39;M;Alumínio;SP;3501152
503;709;40-44;M;Alumínio;SP;3501152
504;638;45-49;M;Alumínio;SP;3501152
505;535;50-54;M;Alumínio;SP;3501152
506;482;55-59;M;Alumínio;SP;3501152
507;416;60-64;M;Alumínio;SP;3501152
508;333;65-69;M;Alumínio;SP;3501152
509;264;70-74;M;Alumínio;SP;3501152
510;164;75-79;M;Alumínio;SP;3501152
511;104;80-84;M;Alumínio;SP;3501152
512;49;85-89;M;Alumínio;SP;3501152
513;23;90+;M;Alumínio;SP;3501152
514;535;00-04;H;Alumínio;SP;3501152
515;587;05-09;H;Alumínio;SP;3501152
516;578;10-14;H;Alumínio;SP;3501152
517;670;15-19;H;Alumínio;SP;3501152
518;665;20-24;H;Alumínio;SP;3501152
519;634;25-29;H;Alumínio;SP;3501152
520;613;30-34;H;Alumínio;SP;3501152
521;673;35-39;H;Alumínio;SP;3501152
522;699;40-44;H;Alumínio;SP;3501152
523;635;45-49;H;Alumínio;SP;3501152
524;553;50-54;H;Alumínio;SP;3501152
525;536;55-59;H;Alumínio;SP;3501152
526;395;60-64;H;Alumínio;SP;3501152
527;305;65-69;H;Alumínio;SP;3501152
528;224;70-74;H;Alumínio;SP;3501152
529;157;75-79;H;Alumínio;SP;3501152
530;92;80-84;H;Alumínio;SP;3501152
531;29;85-89;H;Alumínio;SP;3501152
532;17;90+;H;Alumínio;SP;3501152
533;77;00-04;M;Álvares Florence;SP;3501202
534;95;05-09;M;Álvares Florence;SP;3501202
535;98;10-14;M;Álvares Florence;SP;3501202
536;100;15-19;M;Álvares Florence;SP;3501202
537;101;20-24;M;Álvares Florence;SP;3501202
538;102;25-29;M;Álvares Florence;SP;3501202
539;108;30-34;M;Álvares Florence;SP;3501202
540;119;35-39;M;Álvares Florence;SP;3501202
541;150;40-44;M;Álvares Florence;SP;3501202
