keycidadepotencial;anoscore;keycontagemfarmacias;keypib;populacaototal;qtdfarmacias;valorpibcomercioservicos;scorefinalnormmedio;scorefinalnormmax;rankingglobal
563;2021;1;15401;11451999;4887;549767395000;0.898180877629318;1;1
388;2021;9;15226;728615;310;58664576000;0.8899600349897449;0.9944309284288647;2
543;2021;16;15381;418608;183;15770944000;0.8898802935991461;0.9891309164571502;3
150;2021;108;14987;112476;36;5836352000;0.8876656009848355;0.9929301002261008;4
545;2021;6;15383;810729;321;29662760000;0.8860754896148966;0.9901135239162054;5
411;2021;82;15249;110537;50;16124529000;0.8859883368490721;0.9920699555964272;6
278;2021;50;15116;240275;82;6611049000;0.8840674257274638;0.9878622108568854;7
294;2021;11;15132;443221;234;29583739000;0.8802144538536535;0.9834460810843707;8
258;2021;55;15096;232297;71;7477096000;0.8799054336904552;0.9887705569160572;9
213;2021;3;15051;1291771;513;40037172000;0.8798317552456744;0.9861177805730101;10
529;2021;75;15371;154105;56;6311004000;0.8790802643265775;0.9854972156708545;11
153;2021;32;14990;393237;128;7914094000;0.8790527634629632;0.9858815800598927;12
236;2021;39;15074;255748;106;9716239000;0.8785574128791542;0.983539070248598;13
488;2021;5;15326;698642;330;26672939000;0.8783598223235547;0.9816341221724306;14
558;2021;10;15396;697054;297;19457996000;0.8775126642727363;0.9818483381782062;15
109;2021;2;14945;1139047;585;42629969000;0.8772823537943886;0.9802566456153153;16
535;2021;4;15373;748919;339;17322922000;0.8765229102843232;0.9795696832919581;17
582;2021;8;15420;723682;312;20709422000;0.876247127227574;0.9810929722444217;18
65;2021;19;14901;316473;163;36185003000;0.8761149271625207;0.9848159601156953;19
434;2021;15;15272;423323;196;14606755000;0.875933933968776;0.9793861996823744;20
331;2021;23;15169;418261;147;7936388000;0.875431914648357;0.9818824812059724;21
168;2021;43;15005;250691;95;8506889000;0.8738944765359954;0.9814521404484142;22
304;2021;31;15142;291869;128;7194793000;0.8723971853417644;0.9767012527294807;23
570;2021;36;15408;329911;113;3598070000;0.8723219028086143;0.9764624065191027;24
37;2021;33;14873;242228;118;6924501000;0.870249195786892;0.9737594087606505;25
508;2021;72;15346;134319;59;4214031000;0.8690578366499372;0.9749120790941159;26
584;2021;34;15422;279545;115;7114201000;0.8689122528254867;0.9763701797303792;27
86;2021;62;14922;145155;64;3160156000;0.8685742249454275;0.9714995441381135;28
493;2021;42;15330;201418;96;5155245000;0.8685371985393999;0.9720392233984303;29
605;2021;24;15443;310739;145;7062456000;0.8683418943359434;0.9727073672960368;30
284;2021;103;15122;118045;40;2246180000;0.8682288197791642;0.9770059739543127;31
546;2021;37;15384;165655;111;8183229000;0.8681977084904182;0.9695394478371122;32
460;2021;22;15298;349935;148;5478765000;0.8681885624081782;0.9725454817753955;33
344;2021;14;15182;451505;202;9446543000;0.8675738707036117;0.9728494233708365;34
604;2021;81;15442;123942;51;2439455000;0.8667944463275133;0.9711847013674781;35
268;2021;78;15106;121590;54;2904493000;0.866621436946796;0.9719198222624778;36
589;2021;38;15427;273542;110;5310499000;0.8661572276273027;0.9739386084949047;37
514;2021;47;15352;183347;83;3641483000;0.8658821548731946;0.9711664752265708;38
273;2021;52;15111;168240;80;4851516000;0.8657860504377153;0.9711250090156284;39
181;2021;74;15019;179198;57;1877666000;0.865091458747341;0.9733124031682157;40
547;2021;28;15385;254857;134;6861134000;0.8649264910092929;0.9685818821179664;41
487;2021;83;15325;115559;50;1974790000;0.8647136334053175;0.9695812345687357;42
68;2021;13;14904;379146;210;10733609000;0.8645897142074347;0.9682088365579138;43
209;2021;69;15047;118044;60;3075538000;0.8640912479277629;0.9682667314485515;44
19;2021;27;14855;237240;134;7144793000;0.8637426126211882;0.968234307777846;45
630;2021;59;15468;126373;68;3845353000;0.863096291383361;0.9684030439905099;46
32;2021;35;14868;200124;115;5822670000;0.8626429977187762;0.9664780956780836;47
265;2021;30;15103;369275;129;4428778000;0.8625223239507599;0.9718752648185227;48
635;2021;97;15473;115771;43;1594687000;0.8618567261870735;0.9694087605645071;49
287;2021;56;15125;133497;71;3302758000;0.8618367173150171;0.9659697945809482;50
121;2021;66;14957;134873;62;2522465000;0.8611417601133377;0.9661035650206105;51
255;2021;63;15093;158522;64;2720394000;0.8605881009250379;0.9684768003861003;52
428;2021;46;15266;165428;85;4231575000;0.8605673268746236;0.9661551141240423;53
145;2021;29;14982;274413;133;7573010000;0.8605222027737657;0.9692070577109347;54
577;2021;65;15415;126887;62;3249541000;0.8604158652002941;0.9668217657352363;55
122;2021;20;14958;386984;153;3961459000;0.8594615576746939;0.9670991823193275;56
465;2021;25;15303;225668;137;6029075000;0.8592737340279483;0.9629792067026375;57
48;2021;45;14884;158647;89;4034661000;0.8591223557968242;0.9635722672475078;58
557;2021;7;15395;480393;317;14508308000;0.8588316218851674;0.9631335439211068;59
87;2021;41;14923;176811;96;3946314000;0.8582959934115015;0.9632327681541022;60
345;2021;53;15183;153658;79;3010575000;0.8582420316898857;0.9635716903748437;61
212;2021;21;15050;287634;148;5976188000;0.8571847455781758;0.9640586049029691;62
256;2021;48;15094;157790;82;3095971000;0.8558404340131395;0.9606834212065147;63
391;2021;70;15229;103970;60;2399698000;0.8556576141671114;0.9598446666679267;64
38;2021;49;14874;130866;82;3673554000;0.8545248016600585;0.9593364252965364;65
218;2021;26;15056;236641;136;8314851000;0.8541652999307355;0.9633097777175637;66
47;2021;68;14883;101409;61;2381901000;0.8538537976679432;0.9581815271661362;67
