keycidadepotencial;keyestimativa;anoscore;keycontagemfarmacias;keypib;populacaototal;qtdfarmacias;valorpibcomercioservicos;scorepopraw;scoresaturacaoraw;scorepibraw;scorepopnorm;scoresaturacaonorm;scorepibnorm;scorefinal;scorefinalnorm
19;1;2021;27;14855;237240;134;7144793000;10516586;78481.98507462686;30116.308379699884;0.8078712013312362;0.9602349251643751;0.8673182555291213;0.9264152188540105;0.968234307777846
19;2;2021;27;14855;237240;134;7144793000;1179830;8804.701492537313;30116.308379699884;0.6985667624435623;0.7738659546338723;0.8673182555291213;0.785026495593891;0.8556666721388455
19;3;2021;27;14855;237240;134;7144793000;237240;1770.44776119403;30116.308379699884;0.6184190275997046;0.6372423662008845;0.8673182555291213;0.6813752102064139;0.7673268579468734
32;1;2021;35;14868;200124;115;5822670000;8894358.4;77342.24695652175;29095.310907237512;0.7995001000231834;0.9589886002557385;0.8644177368702254;0.9241255775553804;0.9664780956780836
32;2;2021;35;14868;200124;115;5822670000;1045820;9094.08695652174;29095.310907237512;0.6925424295791409;0.7766208265758378;0.8644177368702254;0.7857723689350455;0.8562835950456912
32;3;2021;35;14868;200124;115;5822670000;200124;1740.208695652174;29095.310907237512;0.6099181196721586;0.6357754596643896;0.8644177368702254;0.6789181811063336;0.7651673024325536
37;1;2021;33;14873;242228;118;6924501000;10600638.8;89835.92203389831;28586.707564773686;0.8082689611833741;0.9717463748673629;0.8629346570840686;0.9336362899423051;0.9737594087606505
37;2;2021;33;14873;242228;118;6924501000;1211420;10266.271186440677;28586.707564773686;0.6998870024750278;0.7869491079414679;0.8629346570840686;0.793440007223344;0.8626107140971693
37;3;2021;33;14873;242228;118;6924501000;242228;2052.7796610169494;28586.707564773686;0.6194586700993773;0.6498418341241284;0.8629346570840686;0.6894220823136413;0.7743774645028564
38;1;2021;49;14874;130866;82;3673554000;5691956.9;69414.10853658537;28071.11090734033;0.7771971886145488;0.9497745532690826;0.861404005092366;0.9148427071682859;0.9593364252965364
38;2;2021;49;14874;130866;82;3673554000;638080;7781.463414634146;28071.11090734033;0.6678546851775516;0.763341754014899;0.861404005092366;0.7734054973466576;0.84602133300101
38;3;2021;49;14874;130866;82;3673554000;130866;1595.9268292682927;28071.11090734033;0.5886945900123287;0.6284059689320782;0.861404005092366;0.6710344382721608;0.7582166466826291
47;1;2021;68;14883;101409;61;2381901000;4434007.399999999;72688.64590163933;23488.06318965772;0.7647182015098227;0.9537017011352352;0.8464137573191534;0.9133457624094776;0.9581815271661362
47;2;2021;68;14883;101409;61;2381901000;516020;8459.344262295082;23488.06318965772;0.6572460453776312;0.7704572245036188;0.8464137573191534;0.7743274131541268;0.8467888209193439
47;3;2021;68;14883;101409;61;2381901000;101409;1662.4426229508197;23488.06318965772;0.5759528046529049;0.6318827492637911;0.8464137573191534;0.6691959564137749;0.7565910449183496
48;1;2021;45;14884;158647;89;4034661000;6858130.999999999;77057.65168539324;25431.687961322936;0.7865098662059593;0.9586745243933078;0.8530997923094745;0.9203431121578064;0.9635722672475078
48;2;2021;45;14884;158647;89;4034661000;765750;8603.932584269663;25431.687961322936;0.6769680489333525;0.7719009655300494;0.8530997923094745;0.7786474392262648;0.8503799055585557
48;3;2021;45;14884;158647;89;4034661000;158647;1782.5505617977528;25431.687961322936;0.5983133361539971;0.6378224719666538;0.8530997923094745;0.6769270224539522;0.763414894584409
63;1;2021;40;14899;122485;98;3146638000;5295381.199999999;54034.50204081632;25689.98652896273;0.7735886979661625;0.9284356017192696;0.8539496245258952;0.898053715905284;0.9463316277710283
63;2;2021;40;14899;122485;98;3146638000;579770;5916.0204081632655;25689.98652896273;0.6630663551831742;0.7399941216633743;0.8539496245258952;0.7550924455878585;0.8306926110438676
63;3;2021;40;14899;122485;98;3146638000;122485;1249.8469387755101;25689.98652896273;0.5853876095216115;0.6075955080215504;0.8539496245258952;0.6546455414724255;0.7436619227252055
65;1;2021;19;14901;316473;163;36185003000;12467184.7;76485.79570552146;114338.35745861416;0.8163727084881794;0.9580399087740987;0.9795145321993363;0.9481681134305543;0.9848159601156953
65;2;2021;19;14901;316473;163;36185003000;909130;5577.484662576687;114338.35745861416;0.6855437965134111;0.7349746142749339;0.9795145321993363;0.7789395160836622;0.8506223838242457
65;3;2021;19;14901;316473;163;36185003000;316473;1941.5521472392638;114338.35745861416;0.6328174186588524;0.645098083015468;0.9795145321993363;0.7107533064165801;0.7929064375476209
68;1;2021;13;14904;379146;210;10733609000;16168618.8;76993.42285714285;28309.962389158794;0.8293624459788638;0.9586034818206534;0.862116548541837;0.9263819915807111;0.9682088365579138
68;2;2021;13;14904;379146;210;10733609000;1828460;8706.952380952382;28309.962389158794;0.7204569760886237;0.7729149128626691;0.862116548541837;0.7855094463210981;0.856066157262005
68;3;2021;13;14904;379146;210;10733609000;379146;1805.4571428571428;28309.962389158794;0.6418453950533385;0.6389097229581154;0.862116548541837;0.683844655284382;0.7694941488023852
74;1;2021;54;14910;118979;73;2179371000;5197149.600000001;71193.8301369863;18317.27447700855;0.7726531050559219;0.9519313949725043;0.825503319020105;0.9087179507903661;0.9546054312809416
74;2;2021;54;14910;118979;73;2179371000;568600;7789.041095890411;18317.27447700855;0.6620943073733166;0.7634246697448495;0.825503319020105;0.7657073633627473;0.839597075634523
74;3;2021;54;14910;118979;73;2179371000;118979;1629.849315068493;18317.27447700855;0.5839365347320216;0.6301968192075954;0.825503319020105;0.6646320907225399;0.7525478830982308
86;1;2021;62;14922;145155;64;3160156000;6181358.7;96583.7296875;21770.906961523888;0.7813185714818884;0.9779168008279613;0.8400292996886329;0.9306794776654883;0.9714995441381135
86;2;2021;62;14922;145155;64;3160156000;715960;11186.875;21770.906961523888;0.6736087765301132;0.794264996145962;0.8400292996886329;0.7913522348929114;0.860890627196324
86;3;2021;62;14922;145155;64;3160156000;145155;2268.046875;21770.906961523888;0.5938724263260995;0.6583341958543433;0.8400292996886329;0.6882270396683767;0.7733325035018451
87;1;2021;41;14923;176811;96;3946314000;7556694.199999999;78715.56458333333;22319.39189303833;0.7913564970520415;0.9604881129723509;0.8421217440524307;0.9199016775963359;0.9632327681541022
87;2;2021;41;14923;176811;96;3946314000;812420;8462.708333333334;22319.39189303833;0.6799241104312362;0.7704910948644689;0.8421217440524307;0.7757605262587379;0.8479810853089925
87;3;2021;41;14923;176811;96;3946314000;176811;1841.78125;22319.39189303833;0.603729590745601;0.6406058800894945;0.8421217440524307;0.6772214239476924;0.7636741267714098
109;1;2021;2;14945;1139047;585;42629969000;49396766.4;84438.91692307692;37425.99646897802;0.8851649500357025;0.9664678682419483;0.8855926829254936;0.9421625393580328;0.9802566456153153
109;2;2021;2;14945;1139047;585;42629969000;5607930;9586.205128205129;37425.99646897802;0.7764540744768342;0.7811103345628171;0.8855926829254936;0.8015411782267541;0.8692662511538872
109;3;2021;2;14945;1139047;585;42629969000;1139047;1947.088888888889;37425.99646897802;0.6968090443764662;0.6453405722236822;0.8855926829254936;0.6985378415793229;0.782324164613963
121;1;2021;66;14957;134873;62;2522465000;5600338.6;90328.04193548387;18702.520148584223;0.776386390372645;0.9722118090598385;0.827253671585487;0.9236376396962489;0.9661035650206105
121;2;2021;66;14957;134873;62;2522465000;576240;9294.193548387097;18702.520148584223;0.6627612025907507;0.7784749951184716;0.827253671585487;0.7766593511591026;0.8487283629808653
121;3;2021;66;14957;134873;62;2522465000;134873;2175.3709677419356;18702.520148584223;0.5902015337773309;0.6547813512429739;0.827253671585487;0.6828178335649122;0.7685933523385372
122;1;2021;20;14958;386984;153;3961459000;15381998.799999999;100535.93986928104;10236.751390238356;0.8268704321189105;0.9813336270671146;0.7765720937934977;0.9249350009175707;0.9670991823193275
122;2;2021;20;14958;386984;153;3961459000;1297090;8477.712418300654;10236.751390238356;0.7033011703005208;0.7706419962375756;0.7765720937934977;0.7650939331550545;0.8390839507479407
122;3;2021;20;14958;386984;153;3961459000;386984;2529.3071895424837;10236.751390238356;0.6428677934510054;0.6676191383866901;0.7765720937934977;0.6869345949744832;0.7722015399568132
127;1;2021;44;14963;115791;92;3239255000;5198632.1;56506.87065217391;27975.015329343387;0.772667355907637;0.9322472425144872;0.8611156203434456;0.9020629294195938;0.9494476002422094
127;2;2021;44;14963;115791;92;3239255000;640570;6962.717391304348;27975.015329343387;0.6680492887841112;0.7538711964711622;0.8611156203434456;0.7667378904769138;0.8404586944781429
127;3;2021;44;14963;115791;92;3239255000;115791;1258.5978260869565;27975.015329343387;0.5825794653263834;0.6081894748699433;0.8611156203434456;0.6562137030102877;0.7450608054447105
145;1;2021;29;14982;274413;133;7573010000;10896194.299999999;81926.27293233082;27597.125500614038;0.8096429880936793;0.9638941836151113;0.8599718766895871;0.9276846026778632;0.9692070577109347
145;2;2021;29;14982;274413;133;7573010000;858130;6452.105263157895;27597.125500614038;0.6826591460891772;0.7473832048662801;0.8599718766895871;0.7634285333532311;0.8376899697719563
145;3;2021;29;14982;274413;133;7573010000;274413;2063.2556390977443;27597.125500614038;0.625692128582785;0.6502753095469672;0.8599718766895871;0.6897563048790729;0.774669580838406
150;1;2021;108;14987;112476;36;5836352000;4487442.100000001;124651.16944444446;51889.7542586863;0.7653167459497361;0.9996513513027575;0.913072445218028;0.9589021095505095;0.9929301002261008
150;2;2021;108;14987;112476;36;5836352000;388570;10793.611111111111;51889.7542586863;0.6430721525490569;0.7912163106386362;0.913072445218028;0.8007731217455565;0.8686365380138005
150;3;2021;108;14987;112476;36;5836352000;112476;3124.3333333333335;51889.7542586863;0.5811281209287285;0.6856129602729027;0.913072445218028;0.7206563733275104;0.8014301647146053
153;1;2021;32;14990;393237;128;7914094000;16020776.8;125162.31875;20125.507009767647;0.828903468491145;1;0.8334204349319446;0.9495744338355033;0.9858815800598927
153;2;2021;32;14990;393237;128;7914094000;1338020;10453.28125;20125.507009767647;0.7048534892049719;0.7884869562740717;0.8334204349319446;0.7891103052987363;0.8590412986002697
153;3;2021;32;14990;393237;128;7914094000;393237;3072.1640625;20125.507009767647;0.6436687008937014;0.6841788002097268;0.8334204349319446;0.7099761172225677;0.7922354117287274
168;1;2021;43;15005;250691;95;8506889000;9703597.999999998;102143.13684210525;33933.76307885006;0.803851104366211;0.9826848407429079;0.8773548246291836;0.9437354638824933;0.9814521404484142
168;2;2021;43;15005;250691;95;8506889000;751640;7912;33933.76307885006;0.6760387721379216;0.7647589409659085;0.8773548246291836;0.7784061008157647;0.8501795196216093
168;3;2021;43;15005;250691;95;8506889000;250691;2638.8526315789472;33933.76307885006;0.6211745743487483;0.6712300293314574;0.8773548246291836;0.7074494428927316;0.7900517695379625
181;1;2021;74;15019;179198;57;1877666000;6970204.2;122284.28421052633;10478.16381879262;0.7873197909573968;0.9980180640930214;0.7785322187298688;0.9330510677068284;0.9733124031682157
181;2;2021;74;15019;179198;57;1877666000;541690;9503.333333333334;10478.16381879262;0.6596718011672269;0.7803706823308081;0.7785322187298688;0.767933101494262;0.8414573755104601
181;3;2021;74;15019;179198;57;1877666000;179198;3143.8245614035086;10478.16381879262;0.6043996278620972;0.6861426495129715;0.7785322187298688;0.6964462611912635;0.780504597563347
186;1;2021;12;15024;352536;225;6913824000;14836247.399999999;65938.87733333332;19611.68221117843;0.8250654365055566;0.9453986881404464;0.8312454822097897;0.9105347217908261;0.956010355902051
