QtdFarmacias,NomeCidadeContagem,UFContagem,CodigoIBGE
4887,São Paulo (território),SP,3550308
585,Campinas,SP,3509502
513,Guarulhos,SP,3518800
339,Santo André,SP,3547809
330,Ribeirão Preto,SP,3543402
321,São Bernardo do Campo,SP,3548708
317,São José do Rio Preto,SP,3549805
312,Sorocaba,SP,3552205
310,Osasco,SP,3534401
297,São José dos Campos,SP,3549904
234,Jundiaí,SP,3525904
225,Franca,SP,3516200
210,Bauru,SP,3506003
202,Mogi das Cruzes,SP,3530607
196,Piracicaba,SP,3538709
183,Santos,SP,3548500
166,Marília,SP,3529005
166,Suzano,SP,3552502
163,Barueri,SP,3505708
153,Carapicuíba,SP,3510609
148,Guarujá,SP,3518701
148,Praia Grande,SP,3541000
147,Mauá,SP,3529401
145,Taubaté,SP,3554102
137,Presidente Prudente,SP,3541406
136,Hortolândia,SP,3519071
134,Americana,SP,3501608
134,São Carlos,SP,3548906
133,Cotia,SP,3513009
129,Itaquaquecetuba,SP,3523107
128,Limeira,SP,3526902
128,Diadema,SP,3513801
118,Araraquara,SP,3503208
115,Sumaré,SP,3552403
115,Araçatuba,SP,3502804
113,São Vicente,SP,3551009
111,São Caetano do Sul,SP,3548807
110,Taboão da Serra,SP,3552809
106,Indaiatuba,SP,3520509
98,Barretos,SP,3505500
96,Bragança Paulista,SP,3507605
96,Rio Claro,SP,3543907
95,Embu,SP,3515004
92,Catanduva,SP,3511102
89,Atibaia,SP,3504107
85,Pindamonhangaba,SP,3538006
83,Santa Bárbara d´Oeste,SP,3545803
82,Itapetininga,SP,3522307
82,Araras,SP,3503307
82,Jacareí,SP,3524402
81,Moji Mirim,SP,3530805
80,Itu,SP,3523909
79,Mogi Guaçu,SP,3530706
73,Birigui,SP,3506508
71,Itapevi,SP,3522505
71,Jaú,SP,3525300
70,Votuporanga,SP,3557105
68,Franco da Rocha,SP,3516408
68,Valinhos,SP,3556206
64,Itanhaém,SP,3522109
64,Matão,SP,3529302
64,Botucatu,SP,3507506
64,Itapecerica da Serra,SP,3522208
62,Francisco Morato,SP,3516309
62,Sertãozinho,SP,3551702
62,Caraguatatuba,SP,3510500
61,Votorantim,SP,3557006
61,Assis,SP,3504008
60,Guaratinguetá,SP,3518404
60,Ourinhos,SP,3534708
60,Itapeva,SP,3522406
59,Salto,SP,3545209
57,Ubatuba,SP,3555406
57,Ferraz de Vasconcelos,SP,3515707
56,Santana de Parnaíba,SP,3547304
55,Poá,SP,3539806
55,Fernandópolis,SP,3515509
54,Itatiba,SP,3523404
54,Avaré,SP,3504503
53,Ibiúna,SP,3519709
51,Tatuí,SP,3554003
50,Paulínia,SP,3536505
50,Ribeirão Pires,SP,3543303
50,Bebedouro,SP,3506102
49,São Sebastião,SP,3550704
49,Taquaritinga,SP,3553708
49,Olímpia,SP,3533908
47,Leme,SP,3526704
46,São João da Boa Vista,SP,3549102
46,Penápolis,SP,3537305
46,Cajamar,SP,3509205
46,Tupã,SP,3555000
45,Jaboticabal,SP,3524303
44,Jales,SP,3524808
44,Bertioga,SP,3506359
44,Lins,SP,3527108
43,Várzea Paulista,SP,3556503
43,Mirassol,SP,3530300
42,Vinhedo,SP,3556701
42,Caieiras,SP,3509007
41,Arujá,SP,3503901
41,Itapira,SP,3522604
40,Jandira,SP,3525003
40,Cruzeiro,SP,3513405
40,Peruíbe,SP,3537602
38,Mongaguá,SP,3531100
38,Itupeva,SP,3524006
36,Cubatão,SP,3513504
36,Campo Limpo Paulista,SP,3509601
35,São Roque,SP,3550605
35,Pirassununga,SP,3539301
35,Andradina,SP,3502101
34,Mairiporã,SP,3528502
34,Ibitinga,SP,3519600
33,Monte Alto,SP,3531308
33,Caçapava,SP,3508504
32,Lorena,SP,3527207
32,Lençóis Paulista,SP,3526803
32,Boituva,SP,3507001
32,Nova Odessa,SP,3533403
32,Mococa,SP,3530508
32,Novo Horizonte,SP,3533502
31,José Bonifácio,SP,3525706
31,Batatais,SP,3505906
31,Piedade,SP,3537800
30,Cabreúva,SP,3508405
29,Santa Fé do Sul,SP,3546603
28,Pederneiras,SP,3536703
28,São José do Rio Pardo,SP,3549706
28,Itararé,SP,3523206
28,Cerquilho,SP,3511508
27,Itápolis,SP,3522703
27,Amparo,SP,3501905
27,Santa Cruz do Rio Pardo,SP,3546405
27,São Joaquim da Barra,SP,3549409
27,Guaíra,SP,3517406
27,Porto Ferreira,SP,3540705
26,Jaguariúna,SP,3524709
26,Garça,SP,3516705
26,Vargem Grande do Sul,SP,3556404
26,Capâo Bonito,SP,3510203
26,Dracena,SP,3514403
26,Barra Bonita,SP,3505302
25,Vargem Grande Paulista,SP,3556453
25,Paraguaçu Paulista,SP,3535507
25,Monte Mor,SP,3531803
25,Adamantina,SP,3500105
24,Porto Feliz,SP,3540606
24,Campos do Jordão,SP,3509700
24,Araçoiaba da Serra,SP,3502903
24,Registro,SP,3542602
24,Cosmópolis,SP,3512803
23,Capivari,SP,3510401
23,Cravinhos,SP,3513108
22,Pereira Barreto,SP,3537404
22,Morro Agudo,SP,3531902
22,São Miguel Arcanjo,SP,3550209
22,Serra Negra,SP,3551603
22,Apiaí,SP,3502705
22,Tietê,SP,3554508
21,Mairinque,SP,3528403
21,São Pedro,SP,3550407
21,Artur Nogueira,SP,3503802
21,Santa Isabel,SP,3546801
21,Itaí,SP,3521804
21,Guariba,SP,3518602
21,Ribeirão Branco,SP,3543006
21,Monte Aprazível,SP,3531407
21,Espírito Santo do Pinhal,SP,3515186
21,Presidente Epitácio,SP,3541307
20,Louveira,SP,3527306
20,Aguaí,SP,3500303
20,Tanabi,SP,3553401
20,Bady Bassitt,SP,3504602
20,Pedreira,SP,3537107
20,Rancharia,SP,3542206
20,Ibaté,SP,3519303
19,Angatuba,SP,3502200
19,Bariri,SP,3505203
19,São Manuel,SP,3550100
19,Agudos,SP,3500709
19,Orlândia,SP,3534302
19,Embu-Guaçu,SP,3515103
19,Salto de Pirapora,SP,3545308
18,Itaberá,SP,3521705
18,Casa Branca,SP,3510807
18,Itajobi,SP,3521903
18,Américo Brasiliense,SP,3501707
18,Promissão,SP,3541604
18,Santa Rita do Passa Quatro,SP,3547502
18,Jardinópolis,SP,3525102
18,Buri,SP,3508009
18,Socorro,SP,3552106
18,Pirapozinho,SP,3539202
18,Presidente Venceslau,SP,3541505
17,Serrana,SP,3551504
17,Aparecida,SP,3502507
17,Viradouro,SP,3556800
17,Auriflama,SP,3504206
17,Nova Granada,SP,3533007
17,Paranapanema,SP,3535804
17,Iguape,SP,3520301
17,Jarinu,SP,3525201
17,Cajuru,SP,3509403
17,Cachoeira Paulista,SP,3508603
17,Rosana,SP,3544251
17,Monte Azul Paulista,SP,3531506
17,Pilar do Sul,SP,3537909
17,Palmital,SP,3535309
17,Pitangueiras,SP,3539509
17,Pontal,SP,3540200
17,Guararapes,SP,3518206
16,Urupês,SP,3556008
16,Guapiaçu,SP,3517505
16,Borborema,SP,3507407
16,Santa Cruz das Palmeiras,SP,3546306
16,Ituverava,SP,3524105
16,Barrinha,SP,3505609
16,Dois Córregos,SP,3514106
16,Guararema,SP,3518305
15,Brotas,SP,3507902
15,Laranjal Paulista,SP,3526407
15,Engenheiro Coelho,SP,3515152
15,Pompéia,SP,3540002
15,Piraju,SP,3538808
15,Ilhabela,SP,3520400
15,Igarapava,SP,3520103
15,Osvaldo Cruz,SP,3534609
14,Teodoro Sampaio,SP,3554300
14,Altinópolis,SP,3501004
14,Colina,SP,3512001
14,Martinópolis,SP,3529203
14,Rio das Pedras,SP,3544004
14,Santa Adélia,SP,3545605
14,Ouroeste,SP,3534757
14,Fartura,SP,3515400
14,Buritama,SP,3508108
14,Águas de Lindóia,SP,3500501
14,Tremembé,SP,3554805
14,Cerqueira César,SP,3511409
14,Conchal,SP,3512209
14,Cândido Mota,SP,3510005
14,Lucélia,SP,3527405
14,Biritiba-Mirim,SP,3506607
13,Piracaia,SP,3538600
13,Pirajuí,SP,3538907
13,Guará,SP,3517703
13,Santa Gertrudes,SP,3546702
13,Bastos,SP,3505807
13,Taquarituba,SP,3553807
13,Guapiara,SP,3517604
13,Pedregulho,SP,3537008
13,Pradópolis,SP,3540903
13,Bálsamo,SP,3504800
13,Ilha Comprida,SP,3520426
13,General Salgado,SP,3516903
12,Junqueirópolis,SP,3526001
12,Capela do Alto,SP,3510302
12,Santa Rosa de Viterbo,SP,3547601
12,Valparaíso,SP,3556305
12,Severínia,SP,3551900
12,Regente Feijó,SP,3542404
12,Descalvado,SP,3513702
12,Maracaí,SP,3528809
12,Guaraci,SP,3517901
12,Ilha Solteira,SP,3520442
11,Tambaú,SP,3553302
11,Valentim Gentil,SP,3556107
11,Iperó,SP,3521002
11,Santo Anastácio,SP,3547700
11,Bocaina,SP,3506805
11,Bernardino de Campos,SP,3506300
11,Cardoso,SP,3510708
11,Cafelândia,SP,3508801
11,Cajati,SP,3509254
11,Caconde,SP,3508702
11,Mirandopólis,SP,3530102
11,Palestina,SP,3535002
11,Ibirá,SP,3519402
11,Castilho,SP,3511003
11,Itaporanga,SP,3522802
