ValorPIB,SetorPIB,AnoPIB,NomeCidadePIB,UFPIB,CodigoIBGE
,Indústria,2010,ADAMANTINA,SP,3500105
4663698000,Indústria,2010,ADOLFO,SP,3500204
,Indústria,2010,AGUAÍ,SP,3500303
0,Indústria,2010,ÁGUAS DA PRATA,SP,3500402
0,Indústria,2010,ÁGUAS DE LINDÓIA,SP,3500501
,Indústria,2010,ÁGUAS DE SANTA BÁRBARA,SP,3500550
6470376000,Indústria,2010,ÁGUAS DE SÃO PEDRO,SP,3500600
,Indústria,2010,AGUDOS,SP,3500709
4100987000,Indústria,2010,ALAMBARI,SP,3500758
0,Indústria,2010,ALFREDO MARCONDES,SP,3500808
4715998000,Indústria,2010,ALTAIR,SP,3500907
,Indústria,2010,ALTINÓPOLIS,SP,3501004
,Indústria,2010,ALTO ALEGRE,SP,3501103
0,Indústria,2010,ALUMÍNIO,SP,3501152
,Indústria,2010,ÁLVARES FLORENCE,SP,3501202
,Indústria,2010,ÁLVARES MACHADO,SP,3501301
1806274000,Indústria,2010,ÁLVARO DE CARVALHO,SP,3501400
1855902000,Indústria,2010,ALVINLÂNDIA,SP,3501509
2271238000,Indústria,2010,AMERICANA,SP,3501608
148670000,Indústria,2010,AMÉRICO BRASILIENSE,SP,3501707
2552901000,Indústria,2010,AMÉRICO DE CAMPOS,SP,3501806
1004041000,Indústria,2010,AMPARO,SP,3501905
,Indústria,2010,ANALÂNDIA,SP,3502002
,Indústria,2010,ANDRADINA,SP,3502101
,Indústria,2010,ANGATUBA,SP,3502200
,Indústria,2010,ANHEMBI,SP,3502309
3757006000,Indústria,2010,ANHUMAS,SP,3502408
0,Indústria,2010,APARECIDA,SP,3502507
,Indústria,2010,APARECIDA D'OESTE,SP,3502606
,Indústria,2010,APIAÍ,SP,3502705
0,Indústria,2010,ARAÇARIGUAMA,SP,3502754
0,Indústria,2010,ARAÇATUBA,SP,3502804
,Indústria,2010,ARAÇOIABA DA SERRA,SP,3502903
,Indústria,2010,ARAMINA,SP,3503000
5727069000,Indústria,2010,ARANDU,SP,3503109
1046643000,Indústria,2010,ARAPEÍ,SP,3503158
1430350000,Indústria,2010,ARARAQUARA,SP,3503208
1017139000,Indústria,2010,ARARAS,SP,3503307
1913145000,Indústria,2010,ARCO-ÍRIS,SP,3503356
9783938000,Indústria,2010,AREALVA,SP,3503406
712251000,Indústria,2010,AREIAS,SP,3503505
6092378000,Indústria,2010,AREIÓPOLIS,SP,3503604
,Indústria,2010,ARIRANHA,SP,3503703
,Indústria,2010,ARTUR NOGUEIRA,SP,3503802
0,Indústria,2010,ARUJÁ,SP,3503901
887023000,Indústria,2010,ASPÁSIA,SP,3503950
,Indústria,2010,ASSIS,SP,3504008
0,Indústria,2010,ATIBAIA,SP,3504107
,Indústria,2010,AURIFLAMA,SP,3504206
5921157000,Indústria,2010,AVAÍ,SP,3504305
,Indústria,2010,AVANHANDAVA,SP,3504404
,Indústria,2010,AVARÉ,SP,3504503
,Indústria,2010,BADY BASSITT,SP,3504602
2245081000,Indústria,2010,BALBINOS,SP,3504701
,Indústria,2010,BÁLSAMO,SP,3504800
0,Indústria,2010,BANANAL,SP,3504909
1118817000,Indústria,2010,BARÃO DE ANTONINA,SP,3505005
3118629000,Indústria,2010,BARBOSA,SP,3505104
183922000,Indústria,2010,BARIRI,SP,3505203
,Indústria,2010,BARRA BONITA,SP,3505302
0,Indústria,2010,BARRA DO CHAPÉU,SP,3505351
2673629000,Indústria,2010,BARRA DO TURVO,SP,3505401
0,Indústria,2010,BARRETOS,SP,3505500
,Indústria,2010,BARRINHA,SP,3505609
3864854000,Indústria,2010,BARUERI,SP,3505708
,Indústria,2010,BASTOS,SP,3505807
,Indústria,2010,BATATAIS,SP,3505906
1818952000,Indústria,2010,BAURU,SP,3506003
272163000,Indústria,2010,BEBEDOURO,SP,3506102
,Indústria,2010,BENTO DE ABREU,SP,3506201
,Indústria,2010,BERNARDINO DE CAMPOS,SP,3506300
0,Indústria,2010,BERTIOGA,SP,3506359
5364766000,Indústria,2010,BILAC,SP,3506409
,Indústria,2010,BIRIGUI,SP,3506508
,Indústria,2010,BIRITIBA MIRIM,SP,3506607
,Indústria,2010,BOA ESPERANÇA DO SUL,SP,3506706
,Indústria,2010,BOCAINA,SP,3506805
,Indústria,2010,BOFETE,SP,3506904
,Indústria,2010,BOITUVA,SP,3507001
0,Indústria,2010,BOM JESUS DOS PERDÕES,SP,3507100
0,Indústria,2010,BOM SUCESSO DE ITARARÉ,SP,3507159
0,Indústria,2010,BORÁ,SP,3507209
,Indústria,2010,BORACÉIA,SP,3507308
,Indústria,2010,BORBOREMA,SP,3507407
0,Indústria,2010,BOREBI,SP,3507456
1059448000,Indústria,2010,BOTUCATU,SP,3507506
0,Indústria,2010,BRAGANÇA PAULISTA,SP,3507605
5741659000,Indústria,2010,BRAÚNA,SP,3507704
0,Indústria,2010,BREJO ALEGRE,SP,3507753
,Indústria,2010,BRODOWSKI,SP,3507803
,Indústria,2010,BROTAS,SP,3507902
,Indústria,2010,BURI,SP,3508009
,Indústria,2010,BURITAMA,SP,3508108
3968586000,Indústria,2010,BURITIZAL,SP,3508207
7178622000,Indústria,2010,CABRÁLIA PAULISTA,SP,3508306
,Indústria,2010,CABREÚVA,SP,3508405
1227112000,Indústria,2010,CAÇAPAVA,SP,3508504
0,Indústria,2010,CACHOEIRA PAULISTA,SP,3508603
,Indústria,2010,CACONDE,SP,3508702
,Indústria,2010,CAFELÂNDIA,SP,3508801
3746293000,Indústria,2010,CAIABU,SP,3508900
0,Indústria,2010,CAIEIRAS,SP,3509007
3017491000,Indústria,2010,CAIUÁ,SP,3509106
1721080000,Indústria,2010,CAJAMAR,SP,3509205
,Indústria,2010,CAJATI,SP,3509254
5595821000,Indústria,2010,CAJOBI,SP,3509304
0,Indústria,2010,CAJURU,SP,3509403
3628532000,Indústria,2010,CAMPINA DO MONTE ALEGRE,SP,3509452
7585553000,Indústria,2010,CAMPINAS,SP,3509502
0,Indústria,2010,CAMPO LIMPO PAULISTA,SP,3509601
0,Indústria,2010,CAMPOS DO JORDÃO,SP,3509700
3528036000,Indústria,2010,CAMPOS NOVOS PAULISTA,SP,3509809
,Indústria,2010,CANANÉIA,SP,3509908
3548084000,Indústria,2010,CANAS,SP,3509957
,Indústria,2010,CÂNDIDO MOTA,SP,3510005
4557603000,Indústria,2010,CÂNDIDO RODRIGUES,SP,3510104
0,Indústria,2010,CANITAR,SP,3510153
,Indústria,2010,CAPÃO BONITO,SP,3510203
,Indústria,2010,CAPELA DO ALTO,SP,3510302
,Indústria,2010,CAPIVARI,SP,3510401
0,Indústria,2010,CARAGUATATUBA,SP,3510500
0,Indústria,2010,CARAPICUÍBA,SP,3510609
7959379000,Indústria,2010,CARDOSO,SP,3510708
,Indústria,2010,CASA BRANCA,SP,3510807
3139285000,Indústria,2010,CÁSSIA DOS COQUEIROS,SP,3510906
,Indústria,2010,CASTILHO,SP,3511003
0,Indústria,2010,CATANDUVA,SP,3511102
4814675000,Indústria,2010,CATIGUÁ,SP,3511201
,Indústria,2010,CEDRAL,SP,3511300
,Indústria,2010,CERQUEIRA CÉSAR,SP,3511409
486335000,Indústria,2010,CERQUILHO,SP,3511508
,Indústria,2010,CESÁRIO LANGE,SP,3511607
,Indústria,2010,CHARQUEADA,SP,3511706
,Indústria,2010,CHAVANTES,SP,3557204
,Indústria,2010,CLEMENTINA,SP,3511904
,Indústria,2010,COLINA,SP,3512001
,Indústria,2010,COLÔMBIA,SP,3512100
,Indústria,2010,CONCHAL,SP,3512209
,Indústria,2010,CONCHAS,SP,3512308
0,Indústria,2010,CORDEIRÓPOLIS,SP,3512407
,Indústria,2010,COROADOS,SP,3512506
2355735000,Indústria,2010,CORONEL MACEDO,SP,3512605
5619532000,Indústria,2010,CORUMBATAÍ,SP,3512704
