ContagemPop,FaixaEtariaPop,SexoPop,NomeCidadePopulacao,UFPopulacao,CodigoIBGE
866,00 a 04,M,Adamantina,SP,3500105
844,05 a 09,M,Adamantina,SP,3500105
853,10 a 14,M,Adamantina,SP,3500105
933,15 a 19,M,Adamantina,SP,3500105
1093,20 a 24,M,Adamantina,SP,3500105
1112,25 a 29,M,Adamantina,SP,3500105
1346,30 a 34,M,Adamantina,SP,3500105
1316,35 a 39,M,Adamantina,SP,3500105
1277,40 a 44,M,Adamantina,SP,3500105
1287,45 a 49,M,Adamantina,SP,3500105
1301,50 a 54,M,Adamantina,SP,3500105
1296,55 a 59,M,Adamantina,SP,3500105
1254,60 a 64,M,Adamantina,SP,3500105
998,65 a 69,M,Adamantina,SP,3500105
774,70 a 74,M,Adamantina,SP,3500105
620,75 a 79,M,Adamantina,SP,3500105
438,80 a 84,M,Adamantina,SP,3500105
246,85 a 89,M,Adamantina,SP,3500105
128,90 e +,M,Adamantina,SP,3500105
897,00 a 04,H,Adamantina,SP,3500105
895,05 a 09,H,Adamantina,SP,3500105
913,10 a 14,H,Adamantina,SP,3500105
983,15 a 19,H,Adamantina,SP,3500105
1095,20 a 24,H,Adamantina,SP,3500105
1128,25 a 29,H,Adamantina,SP,3500105
1275,30 a 34,H,Adamantina,SP,3500105
1275,35 a 39,H,Adamantina,SP,3500105
1279,40 a 44,H,Adamantina,SP,3500105
1125,45 a 49,H,Adamantina,SP,3500105
1129,50 a 54,H,Adamantina,SP,3500105
1174,55 a 59,H,Adamantina,SP,3500105
1036,60 a 64,H,Adamantina,SP,3500105
840,65 a 69,H,Adamantina,SP,3500105
650,70 a 74,H,Adamantina,SP,3500105
454,75 a 79,H,Adamantina,SP,3500105
313,80 a 84,H,Adamantina,SP,3500105
157,85 a 89,H,Adamantina,SP,3500105
87,90 e +,H,Adamantina,SP,3500105
111,00 a 04,M,Adolfo,SP,3500204
120,05 a 09,M,Adolfo,SP,3500204
133,10 a 14,M,Adolfo,SP,3500204
126,15 a 19,M,Adolfo,SP,3500204
112,20 a 24,M,Adolfo,SP,3500204
143,25 a 29,M,Adolfo,SP,3500204
148,30 a 34,M,Adolfo,SP,3500204
171,35 a 39,M,Adolfo,SP,3500204
148,40 a 44,M,Adolfo,SP,3500204
132,45 a 49,M,Adolfo,SP,3500204
170,50 a 54,M,Adolfo,SP,3500204
176,55 a 59,M,Adolfo,SP,3500204
143,60 a 64,M,Adolfo,SP,3500204
130,65 a 69,M,Adolfo,SP,3500204
92,70 a 74,M,Adolfo,SP,3500204
63,75 a 79,M,Adolfo,SP,3500204
42,80 a 84,M,Adolfo,SP,3500204
18,85 a 89,M,Adolfo,SP,3500204
20,90 e +,M,Adolfo,SP,3500204
131,00 a 04,H,Adolfo,SP,3500204
171,05 a 09,H,Adolfo,SP,3500204
115,10 a 14,H,Adolfo,SP,3500204
145,15 a 19,H,Adolfo,SP,3500204
142,20 a 24,H,Adolfo,SP,3500204
145,25 a 29,H,Adolfo,SP,3500204
150,30 a 34,H,Adolfo,SP,3500204
153,35 a 39,H,Adolfo,SP,3500204
137,40 a 44,H,Adolfo,SP,3500204
131,45 a 49,H,Adolfo,SP,3500204
137,50 a 54,H,Adolfo,SP,3500204
155,55 a 59,H,Adolfo,SP,3500204
133,60 a 64,H,Adolfo,SP,3500204
117,65 a 69,H,Adolfo,SP,3500204
86,70 a 74,H,Adolfo,SP,3500204
72,75 a 79,H,Adolfo,SP,3500204
23,80 a 84,H,Adolfo,SP,3500204
6,85 a 89,H,Adolfo,SP,3500204
4,90 e +,H,Adolfo,SP,3500204
946,00 a 04,M,Aguaí,SP,3500303
1011,05 a 09,M,Aguaí,SP,3500303
996,10 a 14,M,Aguaí,SP,3500303
1088,15 a 19,M,Aguaí,SP,3500303
1183,20 a 24,M,Aguaí,SP,3500303
1160,25 a 29,M,Aguaí,SP,3500303
1182,30 a 34,M,Aguaí,SP,3500303
1258,35 a 39,M,Aguaí,SP,3500303
1225,40 a 44,M,Aguaí,SP,3500303
1108,45 a 49,M,Aguaí,SP,3500303
1034,50 a 54,M,Aguaí,SP,3500303
1003,55 a 59,M,Aguaí,SP,3500303
901,60 a 64,M,Aguaí,SP,3500303
732,65 a 69,M,Aguaí,SP,3500303
574,70 a 74,M,Aguaí,SP,3500303
349,75 a 79,M,Aguaí,SP,3500303
235,80 a 84,M,Aguaí,SP,3500303
128,85 a 89,M,Aguaí,SP,3500303
81,90 e +,M,Aguaí,SP,3500303
1024,00 a 04,H,Aguaí,SP,3500303
1050,05 a 09,H,Aguaí,SP,3500303
1128,10 a 14,H,Aguaí,SP,3500303
1092,15 a 19,H,Aguaí,SP,3500303
1177,20 a 24,H,Aguaí,SP,3500303
1251,25 a 29,H,Aguaí,SP,3500303
1129,30 a 34,H,Aguaí,SP,3500303
1288,35 a 39,H,Aguaí,SP,3500303
1226,40 a 44,H,Aguaí,SP,3500303
1036,45 a 49,H,Aguaí,SP,3500303
972,50 a 54,H,Aguaí,SP,3500303
916,55 a 59,H,Aguaí,SP,3500303
871,60 a 64,H,Aguaí,SP,3500303
677,65 a 69,H,Aguaí,SP,3500303
497,70 a 74,H,Aguaí,SP,3500303
273,75 a 79,H,Aguaí,SP,3500303
145,80 a 84,H,Aguaí,SP,3500303
79,85 a 89,H,Aguaí,SP,3500303
47,90 e +,H,Aguaí,SP,3500303
174,00 a 04,M,Águas da Prata,SP,3500402
225,05 a 09,M,Águas da Prata,SP,3500402
198,10 a 14,M,Águas da Prata,SP,3500402
186,15 a 19,M,Águas da Prata,SP,3500402
188,20 a 24,M,Águas da Prata,SP,3500402
192,25 a 29,M,Águas da Prata,SP,3500402
226,30 a 34,M,Águas da Prata,SP,3500402
270,35 a 39,M,Águas da Prata,SP,3500402
275,40 a 44,M,Águas da Prata,SP,3500402
254,45 a 49,M,Águas da Prata,SP,3500402
