UF,MUNICIPIO_DESCRICAO,Código IBGE,Estabelecimentos (Matriz + Filial)
SP,Totais,,"21,603"
SP,Adamantina,Totais,25
SP,Adamantina,3500105,25
SP,Adolfo,Totais,4
SP,Adolfo,3500204,4
SP,Aguaí,Totais,20
SP,Aguaí,3500303,20
SP,Águas da Prata,Totais,6
SP,Águas da Prata,3500402,6
SP,Águas de Lindóia,Totais,14
SP,Águas de Lindóia,3500501,14
SP,Águas de Santa Bárbara,Totais,7
SP,Águas de Santa Bárbara,3500550,7
SP,Águas de São Pedro,Totais,2
SP,Águas de São Pedro,3500600,2
SP,Agudos,Totais,19
SP,Agudos,3500709,19
SP,Alambari,Totais,2
SP,Alambari,3500758,2
SP,Alfredo Marcondes,Totais,3
SP,Alfredo Marcondes,3500808,3
SP,Altair,Totais,4
SP,Altair,3500907,4
SP,Altinópolis,Totais,14
SP,Altinópolis,3501004,14
SP,Alto Alegre,Totais,3
SP,Alto Alegre,3501103,3
SP,Alumínio,Totais,8
SP,Alumínio,3501152,8
SP,Álvares Florence,Totais,2
SP,Álvares Florence,3501202,2
SP,Álvares Machado,Totais,9
SP,Álvares Machado,3501301,9
SP,Álvaro de Carvalho,Totais,3
SP,Álvaro de Carvalho,3501400,3
SP,Alvinlândia,Totais,1
SP,Alvinlândia,3501509,1
SP,Americana,Totais,134
SP,Americana,3501608,134
SP,Américo Brasiliense,Totais,18
SP,Américo Brasiliense,3501707,18
SP,Américo de Campos,Totais,7
SP,Américo de Campos,3501806,7
SP,Amparo,Totais,27
SP,Amparo,3501905,27
SP,Analândia,Totais,2
SP,Analândia,3502002,2
SP,Andradina,Totais,35
SP,Andradina,3502101,35
SP,Angatuba,Totais,19
SP,Angatuba,3502200,19
SP,Anhembi,Totais,3
SP,Anhembi,3502309,3
SP,Anhumas,Totais,4
SP,Anhumas,3502408,4
SP,Aparecida,Totais,17
SP,Aparecida,3502507,17
SP,Aparecida d´Oeste,Totais,4
SP,Aparecida d´Oeste,3502606,4
SP,Apiaí,Totais,22
SP,Apiaí,3502705,22
SP,Araçariguama,Totais,8
SP,Araçariguama,3502754,8
SP,Araçatuba,Totais,115
SP,Araçatuba,3502804,115
SP,Araçoiaba da Serra,Totais,24
SP,Araçoiaba da Serra,3502903,24
SP,Aramina,Totais,5
SP,Aramina,3503000,5
SP,Arandu,Totais,3
SP,Arandu,3503109,3
SP,Arapeí,Totais,1
SP,Arapeí,3503158,1
SP,Araraquara,Totais,118
SP,Araraquara,3503208,118
SP,Araras,Totais,82
SP,Araras,3503307,82
SP,Arco-Íris,Totais,1
SP,Arco-Íris,3503356,1
SP,Arealva,Totais,5
SP,Arealva,3503406,5
SP,Areias,Totais,2
SP,Areias,3503505,2
SP,Areiópolis,Totais,4
SP,Areiópolis,3503604,4
SP,Ariranha,Totais,5
SP,Ariranha,3503703,5
SP,Artur Nogueira,Totais,21
SP,Artur Nogueira,3503802,21
SP,Arujá,Totais,41
SP,Arujá,3503901,41
SP,Aspásia,Totais,2
SP,Aspásia,3503950,2
SP,Assis,Totais,61
SP,Assis,3504008,61
SP,Atibaia,Totais,89
SP,Atibaia,3504107,89
SP,Auriflama,Totais,17
SP,Auriflama,3504206,17
SP,Avaí,Totais,2
SP,Avaí,3504305,2
SP,Avanhandava,Totais,7
SP,Avanhandava,3504404,7
SP,Avaré,Totais,54
SP,Avaré,3504503,54
SP,Bady Bassitt,Totais,20
SP,Bady Bassitt,3504602,20
SP,Balbinos,Totais,1
SP,Balbinos,3504701,1
SP,Bálsamo,Totais,13
SP,Bálsamo,3504800,13
SP,Bananal,Totais,5
SP,Bananal,3504909,5
SP,Barão de Antonina,Totais,3
SP,Barão de Antonina,3505005,3
SP,Barbosa,Totais,4
SP,Barbosa,3505104,4
SP,Bariri,Totais,19
SP,Bariri,3505203,19
SP,Barra Bonita,Totais,26
SP,Barra Bonita,3505302,26
SP,Barra do Chapéu,Totais,3
SP,Barra do Chapéu,3505351,3
SP,Barra do Turvo,Totais,2
SP,Barra do Turvo,3505401,2
SP,Barretos,Totais,98
SP,Barretos,3505500,98
SP,Barrinha,Totais,16
SP,Barrinha,3505609,16
SP,Barueri,Totais,163
SP,Barueri,3505708,163
SP,Bastos,Totais,13
SP,Bastos,3505807,13
SP,Batatais,Totais,31
SP,Batatais,3505906,31
SP,Bauru,Totais,210
SP,Bauru,3506003,210
SP,Bebedouro,Totais,50
SP,Bebedouro,3506102,50
SP,Bento de Abreu,Totais,2
SP,Bento de Abreu,3506201,2
SP,Bernardino de Campos,Totais,11
SP,Bernardino de Campos,3506300,11
SP,Bertioga,Totais,44
SP,Bertioga,3506359,44
SP,Bilac,Totais,7
SP,Bilac,3506409,7
SP,Birigui,Totais,73
SP,Birigui,3506508,73
SP,Biritiba-Mirim,Totais,14
SP,Biritiba-Mirim,3506607,14
SP,Boa Esperança do Sul,Totais,6
SP,Boa Esperança do Sul,3506706,6
SP,Bocaina,Totais,11
SP,Bocaina,3506805,11
SP,Bofete,Totais,5
SP,Bofete,3506904,5
SP,Boituva,Totais,32
SP,Boituva,3507001,32
SP,Bom Jesus dos Perdões,Totais,9
SP,Bom Jesus dos Perdões,3507100,9
SP,Bom Sucesso de Itararé,Totais,5
SP,Bom Sucesso de Itararé,3507159,5
SP,Borá,Totais,1
SP,Borá,3507209,1
SP,Boracéia,Totais,3
SP,Boracéia,3507308,3
SP,Borborema,Totais,16
SP,Borborema,3507407,16
SP,Borebi,Totais,2
SP,Borebi,3507456,2
SP,Botucatu,Totais,64
SP,Botucatu,3507506,64
SP,Bragança Paulista,Totais,96
SP,Bragança Paulista,3507605,96
SP,Braúna,Totais,5
SP,Braúna,3507704,5
SP,Brejo Alegre,Totais,2
SP,Brejo Alegre,3507753,2
SP,Brodowski,Totais,10
SP,Brodowski,3507803,10
SP,Brotas,Totais,15
SP,Brotas,3507902,15
SP,Buri,Totais,18
SP,Buri,3508009,18
SP,Buritama,Totais,14
SP,Buritama,3508108,14
SP,Buritizal,Totais,3
SP,Buritizal,3508207,3
SP,Cabrália Paulista,Totais,4
SP,Cabrália Paulista,3508306,4
SP,Cabreúva,Totais,30
SP,Cabreúva,3508405,30
SP,Caçapava,Totais,33
SP,Caçapava,3508504,33
SP,Cachoeira Paulista,Totais,17
SP,Cachoeira Paulista,3508603,17
SP,Caconde,Totais,11
SP,Caconde,3508702,11
SP,Cafelândia,Totais,11
SP,Cafelândia,3508801,11
SP,Caiabu,Totais,2
SP,Caiabu,3508900,2
SP,Caieiras,Totais,42
SP,Caieiras,3509007,42
SP,Caiuá,Totais,3
SP,Caiuá,3509106,3
SP,Cajamar,Totais,46
SP,Cajamar,3509205,46
SP,Cajati,Totais,11
SP,Cajati,3509254,11
SP,Cajobi,Totais,9
SP,Cajobi,3509304,9
SP,Cajuru,Totais,17
SP,Cajuru,3509403,17
SP,Campina do Monte Alegre,Totais,6
SP,Campina do Monte Alegre,3509452,6
SP,Campinas,Totais,585
SP,Campinas,3509502,585
SP,Campo Limpo Paulista,Totais,36
SP,Campo Limpo Paulista,3509601,36
SP,Campos do Jordão,Totais,24
SP,Campos do Jordão,3509700,24
SP,Campos Novos Paulista,Totais,4
SP,Campos Novos Paulista,3509809,4
SP,Cananéia,Totais,7
SP,Cananéia,3509908,7
SP,Canas,Totais,4
SP,Canas,3509957,4
SP,Cândido Mota,Totais,14
SP,Cândido Mota,3510005,14
SP,Cândido Rodrigues,Totais,2
SP,Cândido Rodrigues,3510104,2
SP,Canitar,Totais,2
SP,Canitar,3510153,2
SP,Capâo Bonito,Totais,26
SP,Capâo Bonito,3510203,26
SP,Capela do Alto,Totais,12
SP,Capela do Alto,3510302,12
SP,Capivari,Totais,23
SP,Capivari,3510401,23
SP,Caraguatatuba,Totais,62
SP,Caraguatatuba,3510500,62
SP,Carapicuíba,Totais,153
SP,Carapicuíba,3510609,153
SP,Cardoso,Totais,11
SP,Cardoso,3510708,11
